Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
678,Kapelle,2,12785.0,15.6
537,Katwijk,3,65302.0,4.6
928,Kerkrade,5,45642.0,11.0
1598,Koggenland,1,22738.0,4.4
542,Krimpen aan den IJssel,2,29376.0,6.8
1931,Krimpenerwaard,7,56048.0,12.5
1659,Laarbeek,6,22333.0,26.9
1685,Landerd,20,15529.0,128.8
882,Landgraaf,7,37591.0,18.6
415,Landsmeer,4,11488.0,34.8
416,Langedijk,4,27992.0,14.3
1621,Lansingerland,14,61601.0,22.7
417,Laren,0,11195.0,0.0
80,Leeuwarden,5,123107.0,4.1
546,Leiden,14,124899.0,11.2
547,Leiderdorp,2,27109.0,7.4
1916,Leidschendam-Voorburg,7,75425.0,9.3
995,Lelystad,15,77893.0,19.3
1640,Leudal,16,35681.0,44.8
327,Leusden,4,30030.0,13.3
1705,Lingewaard,6,46475.0,12.9
553,Lisse,0,22800.0,0.0
262,Lochem,2,33590.0,6.0
809,Loon op Zand,13,23327.0,55.7
331,Lopik,3,14473.0,20.7
24,Loppersum,0,9614.0,0.0
168,Losser,0,22622.0,0.0
263,Maasdriel,2,24693.0,8.1
1641,Maasgouw,5,23716.0,21.1
556,Maassluis,2,32768.0,6.1
935,Maastricht,56,121565.0,46.1
420,Medemblik,0,44809.0,0.0
938,Meerssen,2,18923.0,10.6
1948,Meierijstad,81,80815.0,100.2
119,Meppel,1,33564.0,3.0
687,Middelburg,3,48544.0,6.2
1842,Midden-Delfland,2,19391.0,10.3
1731,Midden-Drenthe,1,33178.0,3.0
1952,Midden-Groningen,2,60899.0,3.3
815,Mill en Sint Hubert,2,10891.0,18.4
1709,Moerdijk,3,36961.0,8.1
1978,Molenlanden,11,43858.0,25.1
1955,Montferland,1,36026.0,2.8
335,Montfoort,0,13996.0,0.0
944,Mook en Middelaar,1,7806.0,12.8
1740,Neder-Betuwe,5,24034.0,20.8
946,Nederweert,7,17001.0,41.2
356,Nieuwegein,8,63036.0,12.7
569,Nieuwkoop,1,28628.0,3.5
267,Nijkerk,2,42943.0,4.7
268,Nijmegen,55,176731.0,31.1
1930,Nissewaard,11,84797.0,13.0
1970,Noardeast-Fryslân,1,45181.0,2.2
1695,Noord-Beveland,0,7308.0,0.0
1699,Noordenveld,1,31290.0,3.2
171,Noordoostpolder,2,46849.0,4.3
575,Noordwijk,2,42859.0,4.7
820,"Nuenen, Gerwen en Nederwetten",1,23186.0,4.3
302,Nunspeet,4,27481.0,14.6
579,Oegstgeest,6,24426.0,24.6
823,Oirschot,1,18623.0,5.4
824,Oisterwijk,12,26140.0,45.9
1895,Oldambt,0,38129.0,0.0
269,Oldebroek,5,23598.0,21.2
