,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,-1,Unknown,279,,
1,796,'s-Hertogenbosch,117,155113.0,75.4
2,1680,Aa en Hunze,4,25453.0,15.7
3,358,Aalsmeer,16,31857.0,50.2
4,197,Aalten,3,27117.0,11.1
5,59,Achtkarspelen,2,27836.0,7.2
6,482,Alblasserdam,6,20165.0,29.8
7,613,Albrandswaard,23,25589.0,89.9
8,361,Alkmaar,42,109444.0,38.4
9,141,Almelo,15,73080.0,20.5
10,34,Almere,48,211840.0,22.7
11,484,Alphen aan den Rijn,35,111889.0,31.3
12,1723,Alphen-Chaam,21,10213.0,205.6
13,1959,Altena,41,55980.0,73.2
14,60,Ameland,0,3718.0,0.0
15,307,Amersfoort,63,157279.0,40.1
16,362,Amstelveen,63,91691.0,68.7
17,363,Amsterdam,477,872779.0,54.7
18,200,Apeldoorn,52,163829.0,31.7
19,3,Appingedam,1,11644.0,8.6
20,202,Arnhem,52,161368.0,32.2
21,106,Assen,10,68606.0,14.6
22,743,Asten,10,16734.0,59.8
23,744,Baarle-Nassau,2,6860.0,29.2
24,308,Baarn,6,24873.0,24.1
25,489,Barendrecht,28,48713.0,57.5
26,203,Barneveld,19,59077.0,32.2
27,888,Beek,14,15868.0,88.2
28,1954,Beekdaelen,37,35976.0,102.8
29,370,Beemster,4,10025.0,39.9
30,889,Beesel,13,13483.0,96.4
31,1945,Berg en Dal,53,34990.0,151.5
32,1724,Bergeijk,14,18638.0,75.1
33,893,Bergen (L.),2,13085.0,15.3
34,373,Bergen (NH.),20,29844.0,67.0
35,748,Bergen op Zoom,17,67489.0,25.2
36,1859,Berkelland,2,43748.0,4.6
37,1721,Bernheze,95,31247.0,304.0
38,753,Best,23,29985.0,76.7
39,209,Beuningen,18,25891.0,69.5
40,375,Beverwijk,17,41613.0,40.9
41,1728,Bladel,18,20395.0,88.3
42,376,Blaricum,6,11536.0,52.0
43,377,Bloemendaal,19,23570.0,80.6
44,1901,Bodegraven-Reeuwijk,10,34869.0,28.7
45,755,Boekel,53,10784.0,491.5
46,1681,Borger-Odoorn,1,25558.0,3.9
47,147,Borne,15,23313.0,64.3
48,654,Borsele,7,22738.0,30.8
49,756,Boxmeer,17,29371.0,57.9
50,757,Boxtel,24,30803.0,77.9
51,758,Breda,227,184271.0,123.2
52,501,Brielle,10,17282.0,57.9
53,1876,Bronckhorst,9,36052.0,25.0
54,213,Brummen,5,20756.0,24.1
55,899,Brunssum,25,27817.0,89.9
56,312,Bunnik,10,15191.0,65.8
57,313,Bunschoten,4,21867.0,18.3
58,214,Buren,7,26742.0,26.2
59,502,Capelle aan den IJssel,41,67151.0,61.1
60,383,Castricum,19,35988.0,52.8
61,109,Coevorden,20,35296.0,56.7
62,1706,Cranendonck,42,21166.0,198.4
63,1684,Cuijk,10,25139.0,39.8
64,216,Culemborg,16,28956.0,55.3
65,148,Dalfsen,15,28585.0,52.5
66,1891,Dantumadiel,1,18916.0,5.3
67,310,De Bilt,39,43124.0,90.4
68,1940,De Fryske Marren,17,51567.0,33.0
69,736,De Ronde Venen,17,44457.0,38.2
70,1690,De Wolden,7,24327.0,28.8
71,503,Delft,29,103659.0,28.0
72,10,Delfzijl,7,24666.0,28.4
73,400,Den Helder,9,56305.0,16.0
74,762,Deurne,46,32474.0,141.7
75,150,Deventer,45,100718.0,44.7
76,384,Diemen,7,30781.0,22.7
77,1774,Dinkelland,30,26470.0,113.3
78,221,Doesburg,6,11078.0,54.2
79,222,Doetinchem,18,58009.0,31.0
80,766,Dongen,12,26226.0,45.8
81,505,Dordrecht,36,119300.0,30.2
82,498,Drechterland,5,19717.0,25.4
83,1719,Drimmelen,26,27274.0,95.3
84,303,Dronten,11,41569.0,26.5
85,225,Druten,13,18918.0,68.7
86,226,Duiven,6,25124.0,23.9
87,1711,Echt-Susteren,28,31618.0,88.6
88,385,Edam-Volendam,14,36201.0,38.7
89,228,Ede,46,117166.0,39.3
90,317,Eemnes,1,9247.0,10.8
91,770,Eersel,17,19314.0,88.0
92,1903,Eijsden-Margraten,43,25753.0,167.0
93,772,Eindhoven,128,234456.0,54.6
94,230,Elburg,11,23161.0,47.5
95,114,Emmen,12,107055.0,11.2
96,388,Enkhuizen,17,18592.0,91.4
97,153,Enschede,49,159734.0,30.7
98,232,Epe,20,33186.0,60.3
99,233,Ermelo,19,27005.0,70.4
100,777,Etten-Leur,50,43880.0,113.9
101,779,Geertruidenberg,12,21538.0,55.7
102,1771,Geldrop-Mierlo,22,39733.0,55.4
103,1652,Gemert-Bakel,82,30725.0,266.9
104,907,Gennep,14,16924.0,82.7
105,784,Gilze en Rijen,25,26438.0,94.6
106,1924,Goeree-Overflakkee,92,50049.0,183.8
107,664,Goes,12,38080.0,31.5
108,785,Goirle,26,23906.0,108.8
109,1942,Gooise Meren,25,58041.0,43.1
110,512,Gorinchem,14,37009.0,37.8
111,513,Gouda,35,73443.0,47.7
112,786,Grave,19,12437.0,152.8
113,14,Groningen,85,232922.0,36.5
114,1729,Gulpen-Wittem,8,14176.0,56.4
115,158,Haaksbergen,9,24309.0,37.0
116,788,Haaren,21,14371.0,146.1
117,392,Haarlem,73,162961.0,44.8
118,394,Haarlemmermeer,45,156039.0,28.8
119,1655,Halderberge,12,30277.0,39.6
120,160,Hardenberg,16,60940.0,26.3
121,243,Harderwijk,18,48429.0,37.2
122,523,Hardinxveld-Giessendam,7,18295.0,38.3
123,72,Harlingen,3,15720.0,19.1
124,244,Hattem,7,12213.0,57.3
125,396,Heemskerk,19,39188.0,48.5
126,397,Heemstede,27,27239.0,99.1
127,246,Heerde,28,18587.0,150.6
128,74,Heerenveen,7,50494.0,13.9
129,398,Heerhugowaard,23,57592.0,39.9
130,917,Heerlen,75,87057.0,86.2
131,1658,Heeze-Leende,12,16150.0,74.3
132,399,Heiloo,13,23974.0,54.2
133,163,Hellendoorn,10,35923.0,27.8
134,530,Hellevoetsluis,15,40158.0,37.4
135,794,Helmond,91,92432.0,98.5
136,531,Hendrik-Ido-Ambacht,5,31204.0,16.0
137,164,Hengelo,25,81147.0,30.8
138,1966,Het Hogeland,7,47834.0,14.6
139,252,Heumen,16,16450.0,97.3
140,797,Heusden,39,44699.0,87.3
141,534,Hillegom,4,22208.0,18.0
142,798,Hilvarenbeek,12,15514.0,77.3
143,402,Hilversum,24,90883.0,26.4
144,1963,Hoeksche Waard,55,87461.0,62.9
145,1735,Hof van Twente,17,35013.0,48.6
146,1911,Hollands Kroon,18,48434.0,37.2
147,118,Hoogeveen,9,55697.0,16.2
148,405,Hoorn,20,73232.0,27.3
149,1507,Horst aan de Maas,27,42433.0,63.6
150,321,Houten,52,50146.0,103.7
151,406,Huizen,13,41273.0,31.5
152,677,Hulst,3,27556.0,10.9
153,353,IJsselstein,31,34110.0,90.9
154,1884,Kaag en Braassem,6,27300.0,22.0
155,166,Kampen,55,54340.0,101.2
156,678,Kapelle,2,12691.0,15.8
157,537,Katwijk,19,65754.0,28.9
158,928,Kerkrade,32,45744.0,70.0
159,1598,Koggenland,9,22752.0,39.6
160,542,Krimpen aan den IJssel,12,29533.0,40.6
161,1931,Krimpenerwaard,30,56319.0,53.3
162,1659,Laarbeek,39,22530.0,173.1
163,1685,Landerd,44,15730.0,279.7
164,882,Landgraaf,29,37457.0,77.4
165,415,Landsmeer,7,11492.0,60.9
166,416,Langedijk,14,28157.0,49.7
167,1621,Lansingerland,45,62396.0,72.1
168,417,Laren,8,11274.0,71.0
169,80,Leeuwarden,20,124058.0,16.1
170,546,Leiden,35,125174.0,28.0
171,547,Leiderdorp,5,27059.0,18.5
172,1916,Leidschendam-Voorburg,21,76553.0,27.4
173,995,Lelystad,31,78619.0,39.4
174,1640,Leudal,41,35896.0,114.2
175,327,Leusden,17,30399.0,55.9
176,1705,Lingewaard,25,46606.0,53.6
177,553,Lisse,3,22957.0,13.1
178,262,Lochem,14,33730.0,41.5
179,809,Loon op Zand,29,23407.0,123.9
180,331,Lopik,13,14471.0,89.8
181,24,Loppersum,1,9533.0,10.5
182,168,Losser,1,22685.0,4.4
183,263,Maasdriel,8,25034.0,32.0
184,1641,Maasgouw,13,23960.0,54.3
185,556,Maassluis,14,33216.0,42.1
