Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,Unknown,184,,
518,'s-Gravenhage,53,537833.0,9.9
796,'s-Hertogenbosch,60,154205.0,38.9
1680,Aa en Hunze,1,25386.0,3.9
358,Aalsmeer,8,31728.0,25.2
197,Aalten,1,27011.0,3.7
59,Achtkarspelen,0,27852.0,0.0
482,Alblasserdam,4,20069.0,19.9
613,Albrandswaard,14,25271.0,55.4
361,Alkmaar,16,108558.0,14.7
141,Almelo,7,72849.0,9.6
34,Almere,18,207904.0,8.7
484,Alphen aan den Rijn,17,110986.0,15.3
1723,Alphen-Chaam,14,10149.0,137.9
1959,Altena,25,55386.0,45.1
60,Ameland,0,3673.0,0.0
307,Amersfoort,41,156286.0,26.2
362,Amstelveen,29,90838.0,31.9
363,Amsterdam,203,862965.0,23.5
200,Apeldoorn,26,162445.0,16.0
3,Appingedam,0,11721.0,0.0
202,Arnhem,20,159265.0,12.6
106,Assen,4,67963.0,5.9
743,Asten,5,16710.0,29.9
744,Baarle-Nassau,1,6847.0,14.6
308,Baarn,2,24767.0,8.1
489,Barendrecht,13,48673.0,26.7
203,Barneveld,10,57971.0,17.3
888,Beek,5,15929.0,31.4
1954,Beekdaelen,20,35727.0,56.0
370,Beemster,0,9748.0,0.0
889,Beesel,5,13519.0,37.0
1945,Berg en Dal,33,34798.0,94.8
1724,Bergeijk,3,18491.0,16.2
893,Bergen (L),1,13140.0,7.6
373,Bergen (NH),9,29974.0,30.0
748,Bergen op Zoom,12,66811.0,18.0
1859,Berkelland,2,43904.0,4.6
1721,Bernheze,62,30806.0,201.3
753,Best,14,29821.0,46.9
209,Beuningen,12,25882.0,46.4
375,Beverwijk,7,41176.0,17.0
1728,Bladel,12,20175.0,59.5
376,Blaricum,4,11202.0,35.7
377,Bloemendaal,11,23410.0,47.0
1901,Bodegraven-Reeuwijk,5,34462.0,14.5
755,Boekel,40,10588.0,377.8
1681,Borger-Odoorn,0,25372.0,0.0
147,Borne,7,23210.0,30.2
654,Borsele,3,22800.0,13.2
756,Boxmeer,7,29065.0,24.1
757,Boxtel,12,30747.0,39.0
758,Breda,161,183873.0,87.6
501,Brielle,1,17182.0,5.8
1876,Bronckhorst,6,36212.0,16.6
213,Brummen,4,20698.0,19.3
899,Brunssum,8,28103.0,28.5
312,Bunnik,4,15192.0,26.3
313,Bunschoten,0,21576.0,0.0
214,Buren,5,26568.0,18.8
502,Capelle aan den IJssel,7,66818.0,10.5
383,Castricum,8,35772.0,22.4
109,Coevorden,14,35483.0,39.5
1706,Cranendonck,19,20440.0,93.0
1684,Cuijk,5,24931.0,20.1
216,Culemborg,5,28555.0,17.5
148,Dalfsen,9,28499.0,31.6
1891,Dantumadiel,0,18923.0,0.0
310,De Bilt,23,42824.0,53.7
1940,De Fryske Marren,8,51430.0,15.6
736,De Ronde Venen,6,44059.0,13.6
1690,De Wolden,3,24110.0,12.4
503,Delft,16,103163.0,15.5
10,Delfzijl,1,24716.0,4.0
400,Den Helder,4,55604.0,7.2
762,Deurne,22,32362.0,68.0
150,Deventer,17,99957.0,17.0
384,Diemen,4,29196.0,13.7
1774,Dinkelland,15,26350.0,56.9
221,Doesburg,4,11148.0,35.9
222,Doetinchem,6,57555.0,10.4
766,Dongen,2,26051.0,7.7
505,Dordrecht,17,118654.0,14.3
498,Drechterland,2,19597.0,10.2
1719,Drimmelen,16,27150.0,58.9
303,Dronten,11,40815.0,27.0
225,Druten,6,18797.0,31.9
226,Duiven,2,25332.0,7.9
1711,Echt-Susteren,14,31638.0,44.3
385,Edam-Volendam,6,36099.0,16.6
228,Ede,21,115710.0,18.1
317,Eemnes,1,9113.0,11.0
770,Eersel,10,19110.0,52.3
1903,Eijsden-Margraten,7,25658.0,27.3
772,Eindhoven,55,231642.0,23.7
230,Elburg,4,23086.0,17.3
114,Emmen,6,107113.0,5.6
388,Enkhuizen,8,18507.0,43.2
153,Enschede,20,158986.0,12.6
232,Epe,10,33145.0,30.2
233,Ermelo,13,26858.0,48.4
777,Etten-Leur,24,43774.0,54.8
779,Geertruidenberg,10,21515.0,46.5
1771,Geldrop-Mierlo,8,39595.0,20.2
1652,Gemert-Bakel,56,30447.0,183.9
907,Gennep,7,17071.0,41.0
784,Gilze en Rijen,13,26431.0,49.2
1924,Goeree-Overflakkee,36,49611.0,72.6
664,Goes,3,37653.0,8.0
785,Goirle,13,23793.0,54.6
1942,Gooise Meren,11,57715.0,19.1
512,Gorinchem,2,36682.0,5.5
513,Gouda,16,73181.0,21.9
786,Grave,11,12483.0,88.1
14,Groningen,53,231299.0,22.9
1729,Gulpen-Wittem,2,14246.0,14.0
158,Haaksbergen,3,24277.0,12.4
788,Haaren,12,14195.0,84.5
392,Haarlem,29,161265.0,18.0
394,Haarlemmermeer,18,154235.0,11.7
1655,Halderberge,7,30194.0,23.2
160,Hardenberg,4,60574.0,6.6
243,Harderwijk,8,47581.0,16.8
523,Hardinxveld-Giessendam,6,18051.0,33.2
72,Harlingen,3,15758.0,19.0
244,Hattem,1,12173.0,8.2
396,Heemskerk,5,39164.0,12.8
397,Heemstede,13,27286.0,47.6
246,Heerde,13,18546.0,70.1
74,Heerenveen,3,50257.0,6.0
398,Heerhugowaard,10,56742.0,17.6
917,Heerlen,29,86832.0,33.4
1658,Heeze-Leende,7,15964.0,43.8
399,Heiloo,6,23464.0,25.6
163,Hellendoorn,5,35808.0,14.0
530,Hellevoetsluis,5,40049.0,12.5
794,Helmond,49,91524.0,53.5
531,Hendrik-Ido-Ambacht,2,30966.0,6.5
164,Hengelo (O),15,80683.0,18.6
1966,Het Hogeland,1,47888.0,2.1
252,Heumen,9,16486.0,54.6
797,Heusden,16,44135.0,36.3
534,Hillegom,2,21966.0,9.1
798,Hilvarenbeek,7,15334.0,45.7
402,Hilversum,7,90238.0,7.8
1963,Hoeksche Waard,23,86656.0,26.5
1735,Hof van Twente,5,34940.0,14.3
1911,Hollands Kroon,8,47815.0,16.7
118,Hoogeveen,5,55662.0,9.0
405,Hoorn,11,73004.0,15.1
1507,Horst aan de Maas,16,42291.0,37.8
321,Houten,25,49911.0,50.1
406,Huizen,3,41273.0,7.3
677,Hulst,0,27524.0,0.0
353,IJsselstein,16,34160.0,46.8
1884,Kaag en Braassem,2,26866.0,7.4
166,Kampen,17,53779.0,31.6
678,Kapelle,2,12785.0,15.6
537,Katwijk,6,65302.0,9.2
928,Kerkrade,8,45642.0,17.5
1598,Koggenland,4,22738.0,17.6
542,Krimpen aan den IJssel,3,29376.0,10.2
1931,Krimpenerwaard,11,56048.0,19.6
1659,Laarbeek,13,22333.0,58.2
1685,Landerd,23,15529.0,148.1
882,Landgraaf,11,37591.0,29.3
415,Landsmeer,5,11488.0,43.5
416,Langedijk,5,27992.0,17.9
1621,Lansingerland,20,61601.0,32.5
417,Laren,0,11195.0,0.0
80,Leeuwarden,10,123107.0,8.1
546,Leiden,16,124899.0,12.8
547,Leiderdorp,2,27109.0,7.4
1916,Leidschendam-Voorburg,10,75425.0,13.3
995,Lelystad,21,77893.0,27.0
1640,Leudal,23,35681.0,64.5
327,Leusden,7,30030.0,23.3
1705,Lingewaard,10,46475.0,21.5
553,Lisse,1,22800.0,4.4
262,Lochem,2,33590.0,6.0
809,Loon op Zand,17,23327.0,72.9
331,Lopik,9,14473.0,62.2
24,Loppersum,0,9614.0,0.0
168,Losser,1,22622.0,4.4
263,Maasdriel,2,24693.0,8.1
1641,Maasgouw,9,23716.0,37.9
556,Maassluis,6,32768.0,18.3
935,Maastricht,60,121565.0,49.4
420,Medemblik,4,44809.0,8.9
938,Meerssen,3,18923.0,15.9
1948,Meierijstad,127,80815.0,157.1
119,Meppel,3,33564.0,8.9
687,Middelburg,6,48544.0,12.4
1842,Midden-Delfland,2,19391.0,10.3
1731,Midden-Drenthe,1,33178.0,3.0
1952,Midden-Groningen,2,60899.0,3.3
815,Mill en Sint Hubert,2,10891.0,18.4
1709,Moerdijk,3,36961.0,8.1
1978,Molenlanden,11,43858.0,25.1
1955,Montferland,3,36026.0,8.3
335,Montfoort,2,13996.0,14.3
944,Mook en Middelaar,3,7806.0,38.4
1740,Neder-Betuwe,9,24034.0,37.4
946,Nederweert,9,17001.0,52.9
356,Nieuwegein,11,63036.0,17.5
569,Nieuwkoop,3,28628.0,10.5
267,Nijkerk,7,42943.0,16.3
268,Nijmegen,79,176731.0,44.7
1930,Nissewaard,15,84797.0,17.7
1970,Noardeast-Fryslân,2,45181.0,4.4
1695,Noord-Beveland,0,7308.0,0.0
1699,Noordenveld,1,31290.0,3.2
171,Noordoostpolder,3,46849.0,6.4
575,Noordwijk,6,42859.0,14.0
