,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,-1,Unknown,265,,
1,796,'s-Hertogenbosch,108,155113.0,69.6
2,1680,Aa en Hunze,3,25453.0,11.8
3,358,Aalsmeer,12,31857.0,37.7
4,197,Aalten,3,27117.0,11.1
5,59,Achtkarspelen,2,27836.0,7.2
6,482,Alblasserdam,6,20165.0,29.8
7,613,Albrandswaard,21,25589.0,82.1
8,361,Alkmaar,36,109444.0,32.9
9,141,Almelo,14,73080.0,19.2
10,34,Almere,39,211840.0,18.4
11,484,Alphen aan den Rijn,32,111889.0,28.6
12,1723,Alphen-Chaam,19,10213.0,186.0
13,1959,Altena,39,55980.0,69.7
14,60,Ameland,0,3718.0,0.0
15,307,Amersfoort,59,157279.0,37.5
16,362,Amstelveen,52,91691.0,56.7
17,363,Amsterdam,411,872779.0,47.1
18,200,Apeldoorn,49,163829.0,29.9
19,3,Appingedam,1,11644.0,8.6
20,202,Arnhem,46,161368.0,28.5
21,106,Assen,8,68606.0,11.7
22,743,Asten,8,16734.0,47.8
23,744,Baarle-Nassau,2,6860.0,29.2
24,308,Baarn,5,24873.0,20.1
25,489,Barendrecht,21,48713.0,43.1
26,203,Barneveld,17,59077.0,28.8
27,888,Beek,13,15868.0,81.9
28,1954,Beekdaelen,34,35976.0,94.5
29,370,Beemster,4,10025.0,39.9
30,889,Beesel,11,13483.0,81.6
31,1945,Berg en Dal,44,34990.0,125.8
32,1724,Bergeijk,13,18638.0,69.7
33,893,Bergen (L.),2,13085.0,15.3
34,373,Bergen (NH.),16,29844.0,53.6
35,748,Bergen op Zoom,15,67489.0,22.2
36,1859,Berkelland,2,43748.0,4.6
37,1721,Bernheze,87,31247.0,278.4
38,753,Best,23,29985.0,76.7
39,209,Beuningen,16,25891.0,61.8
40,375,Beverwijk,13,41613.0,31.2
41,1728,Bladel,15,20395.0,73.5
42,376,Blaricum,6,11536.0,52.0
43,377,Bloemendaal,17,23570.0,72.1
44,1901,Bodegraven-Reeuwijk,9,34869.0,25.8
45,755,Boekel,51,10784.0,472.9
46,1681,Borger-Odoorn,1,25558.0,3.9
47,147,Borne,13,23313.0,55.8
48,654,Borsele,7,22738.0,30.8
49,756,Boxmeer,13,29371.0,44.3
50,757,Boxtel,22,30803.0,71.4
51,758,Breda,215,184271.0,116.7
52,501,Brielle,5,17282.0,28.9
53,1876,Bronckhorst,8,36052.0,22.2
54,213,Brummen,5,20756.0,24.1
55,899,Brunssum,24,27817.0,86.3
56,312,Bunnik,9,15191.0,59.2
57,313,Bunschoten,3,21867.0,13.7
58,214,Buren,7,26742.0,26.2
59,502,Capelle aan den IJssel,31,67151.0,46.2
60,383,Castricum,18,35988.0,50.0
61,109,Coevorden,17,35296.0,48.2
62,1706,Cranendonck,42,21166.0,198.4
63,1684,Cuijk,8,25139.0,31.8
64,216,Culemborg,14,28956.0,48.3
65,148,Dalfsen,14,28585.0,49.0
66,1891,Dantumadiel,1,18916.0,5.3
67,310,De Bilt,36,43124.0,83.5
68,1940,De Fryske Marren,12,51567.0,23.3
69,736,De Ronde Venen,17,44457.0,38.2
70,1690,De Wolden,3,24327.0,12.3
71,503,Delft,27,103659.0,26.0
72,10,Delfzijl,4,24666.0,16.2
73,400,Den Helder,9,56305.0,16.0
74,762,Deurne,42,32474.0,129.3
75,150,Deventer,33,100718.0,32.8
76,384,Diemen,7,30781.0,22.7
77,1774,Dinkelland,28,26470.0,105.8
78,221,Doesburg,6,11078.0,54.2
79,222,Doetinchem,17,58009.0,29.3
80,766,Dongen,10,26226.0,38.1
