,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
143,402,Hilversum,24,90883.0,26.4
144,1963,Hoeksche Waard,60,87461.0,68.6
145,1735,Hof van Twente,17,35013.0,48.6
146,1911,Hollands Kroon,23,48434.0,47.5
147,118,Hoogeveen,12,55697.0,21.5
148,405,Hoorn,22,73232.0,30.0
149,1507,Horst aan de Maas,32,42433.0,75.4
150,321,Houten,56,50146.0,111.7
151,406,Huizen,13,41273.0,31.5
152,677,Hulst,3,27556.0,10.9
153,353,IJsselstein,34,34110.0,99.7
154,1884,Kaag en Braassem,6,27300.0,22.0
155,166,Kampen,62,54340.0,114.1
156,678,Kapelle,2,12691.0,15.8
157,537,Katwijk,21,65754.0,31.9
158,928,Kerkrade,34,45744.0,74.3
159,1598,Koggenland,10,22752.0,44.0
160,542,Krimpen aan den IJssel,13,29533.0,44.0
161,1931,Krimpenerwaard,33,56319.0,58.6
162,1659,Laarbeek,44,22530.0,195.3
163,1685,Landerd,47,15730.0,298.8
164,882,Landgraaf,29,37457.0,77.4
165,415,Landsmeer,8,11492.0,69.6
166,416,Langedijk,15,28157.0,53.3
167,1621,Lansingerland,47,62396.0,75.3
168,417,Laren,8,11274.0,71.0
169,80,Leeuwarden,23,124058.0,18.5
170,546,Leiden,37,125174.0,29.6
171,547,Leiderdorp,7,27059.0,25.9
172,1916,Leidschendam-Voorburg,21,76553.0,27.4
173,995,Lelystad,31,78619.0,39.4
174,1640,Leudal,45,35896.0,125.4
175,327,Leusden,19,30399.0,62.5
176,1705,Lingewaard,27,46606.0,57.9
177,553,Lisse,4,22957.0,17.4
178,262,Lochem,14,33730.0,41.5
179,809,Loon op Zand,31,23407.0,132.4
180,331,Lopik,17,14471.0,117.5
181,24,Loppersum,1,9533.0,10.5
182,168,Losser,3,22685.0,13.2
183,263,Maasdriel,11,25034.0,43.9
184,1641,Maasgouw,13,23960.0,54.3
185,556,Maassluis,14,33216.0,42.1
186,935,Maastricht,173,121558.0,142.3
187,420,Medemblik,19,45104.0,42.1
188,938,Meerssen,12,18832.0,63.7
189,1948,Meierijstad,227,81197.0,279.6
190,119,Meppel,8,33902.0,23.6
191,687,Middelburg,13,48810.0,26.6
192,1842,Midden-Delfland,4,19344.0,20.7
193,1731,Midden-Drenthe,5,33182.0,15.1
194,1952,Midden-Groningen,6,60804.0,9.9
195,815,Mill en Sint Hubert,11,10941.0,100.5
196,1709,Moerdijk,10,37136.0,26.9
197,1978,Molenlanden,19,43931.0,43.2
198,1955,Montferland,10,36009.0,27.8
199,335,Montfoort,14,13920.0,100.6
200,944,Mook en Middelaar,8,7847.0,101.9
201,1740,Neder-Betuwe,31,24342.0,127.4
202,946,Nederweert,27,17022.0,158.6
203,356,Nieuwegein,30,63461.0,47.3
204,569,Nieuwkoop,10,28809.0,34.7
205,267,Nijkerk,18,43176.0,41.7
206,268,Nijmegen,178,177698.0,100.2
207,1930,Nissewaard,38,85237.0,44.6
208,1970,Noardeast-Fryslân,6,45251.0,13.3
209,1695,Noord-Beveland,2,7395.0,27.0
210,1699,Noordenveld,5,31242.0,16.0
211,171,Noordoostpolder,11,47262.0,23.3
212,575,Noordwijk,17,43528.0,39.1
213,820,"Nuenen, Gerwen en Nederwetten",14,23379.0,59.9
214,302,Nunspeet,45,27845.0,161.6
215,579,Oegstgeest,13,24843.0,52.3
216,823,Oirschot,14,18723.0,74.8
217,824,Oisterwijk,25,26241.0,95.3
218,1895,Oldambt,2,38213.0,5.2
219,269,Oldebroek,28,23645.0,118.4
220,173,Oldenzaal,19,31832.0,59.7
221,1773,Olst-Wijhe,8,18251.0,43.8
222,175,Ommen,10,18007.0,55.5
223,1586,Oost Gelre,11,29623.0,37.1
224,826,Oosterhout,40,55990.0,71.4
225,85,Ooststellingwerf,1,25472.0,3.9
226,431,Oostzaan,7,9733.0,71.9
227,432,Opmeer,3,11837.0,25.3
228,86,Opsterland,7,29742.0,23.5
229,828,Oss,154,91932.0,167.5
230,1509,Oude IJsselstreek,10,39392.0,25.4
231,437,Ouder-Amstel,9,14029.0,64.2
232,589,Oudewater,21,10226.0,205.4
233,1734,Overbetuwe,60,47909.0,125.2
234,590,Papendrecht,7,32133.0,21.8
235,1894,Peel en Maas,134,43420.0,308.6
236,765,Pekela,2,12199.0,16.4
237,1926,Pijnacker-Nootdorp,26,55329.0,47.0
238,439,Purmerend,56,81233.0,68.9
239,273,Putten,6,24113.0,24.9
240,177,Raalte,17,37709.0,45.1
241,703,Reimerswaal,7,22728.0,30.8
242,274,Renkum,19,31404.0,60.5
243,339,Renswoude,1,5448.0,18.4
244,1667,Reusel-De Mierden,6,13110.0,45.8
245,275,Rheden,34,43736.0,77.7
246,340,Rhenen,6,20125.0,29.8
247,597,Ridderkerk,33,46204.0,71.4
