,Gemeente,31/03/2020,05/04/2020,04/04/2020,03/04/2020,02/04/2020,01/04/2020
204,Nijkerk,10.0,18.0,17.0,16.0,14.0,11.0
205,Nijmegen,72.0,89.0,88.0,87.0,83.0,79.0
206,Nissewaard,19.0,24.0,23.0,23.0,22.0,20.0
207,Noardeast-Fryslân,4.0,,4.0,4.0,4.0,4.0
208,Noord-Beveland,0.0,0.0,0.0,0.0,0.0,0.0
209,Noordenveld,1.0,1.0,1.0,1.0,1.0,1.0
210,Noordoostpolder,6.0,8.0,8.0,8.0,7.0,6.0
211,Noordwijk,8.0,9.0,9.0,9.0,8.0,8.0
212,"Nuenen, Gerwen en Nederwetten",7.0,12.0,12.0,12.0,11.0,9.0
213,Nunspeet,15.0,20.0,19.0,19.0,19.0,17.0
214,Oegstgeest,3.0,5.0,5.0,5.0,3.0,3.0
215,Oirschot,6.0,9.0,9.0,9.0,6.0,6.0
216,Oisterwijk,9.0,10.0,10.0,10.0,10.0,10.0
217,Oldambt,1.0,1.0,1.0,1.0,1.0,1.0
218,Oldebroek,6.0,10.0,9.0,8.0,8.0,8.0
219,Oldenzaal,8.0,11.0,10.0,10.0,10.0,8.0
220,Olst-Wijhe,5.0,6.0,6.0,6.0,6.0,5.0
221,Ommen,4.0,6.0,6.0,6.0,6.0,4.0
222,Oost Gelre,2.0,4.0,3.0,2.0,2.0,2.0
223,Oosterhout,23.0,25.0,25.0,25.0,25.0,24.0
224,Ooststellingwerf,1.0,1.0,1.0,1.0,1.0,1.0
225,Oostzaan,2.0,5.0,5.0,4.0,4.0,3.0
226,Opmeer,1.0,1.0,1.0,1.0,1.0,1.0
227,Opsterland,4.0,5.0,5.0,5.0,4.0,4.0
228,Oss,73.0,100.0,96.0,93.0,86.0,78.0
229,Oude IJsselstreek,2.0,4.0,4.0,4.0,3.0,2.0
230,Ouder-Amstel,3.0,4.0,4.0,4.0,4.0,3.0
231,Oudewater,15.0,18.0,16.0,16.0,16.0,15.0
232,Overbetuwe,32.0,43.0,43.0,42.0,39.0,38.0
233,Papendrecht,0.0,3.0,3.0,1.0,1.0,1.0
234,Peel en Maas,103.0,118.0,117.0,117.0,109.0,107.0
235,Pekela,3.0,4.0,4.0,4.0,4.0,4.0
236,Pijnacker-Nootdorp,9.0,13.0,11.0,10.0,10.0,10.0
237,Purmerend,35.0,47.0,47.0,44.0,38.0,37.0
238,Putten,1.0,1.0,1.0,1.0,1.0,1.0
239,Raalte,14.0,18.0,18.0,18.0,18.0,16.0
240,Reimerswaal,4.0,4.0,4.0,4.0,4.0,4.0
241,Renkum,10.0,11.0,11.0,11.0,11.0,11.0
242,Renswoude,1.0,3.0,3.0,1.0,1.0,1.0
243,Reusel-De Mierden,1.0,7.0,7.0,6.0,5.0,4.0
244,Rheden,20.0,28.0,28.0,26.0,24.0,22.0
245,Rhenen,2.0,3.0,3.0,3.0,3.0,3.0
246,Ridderkerk,18.0,26.0,24.0,23.0,23.0,22.0
247,Rijssen-Holten,8.0,16.0,15.0,13.0,13.0,8.0
248,Rijswijk,12.0,14.0,14.0,14.0,13.0,12.0
249,Roerdalen,13.0,19.0,18.0,18.0,17.0,16.0
250,Roermond,25.0,37.0,36.0,33.0,30.0,30.0
