Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
-1,Unknown,213,,
518,'s-Gravenhage,81,537833.0,15.1
796,'s-Hertogenbosch,75,154205.0,48.6
1680,Aa en Hunze,1,25386.0,3.9
358,Aalsmeer,10,31728.0,31.5
197,Aalten,2,27011.0,7.4
59,Achtkarspelen,1,27852.0,3.6
482,Alblasserdam,5,20069.0,24.9
613,Albrandswaard,18,25271.0,71.2
361,Alkmaar,24,108558.0,22.1
141,Almelo,10,72849.0,13.7
34,Almere,28,207904.0,13.5
484,Alphen aan den Rijn,22,110986.0,19.8
1723,Alphen-Chaam,16,10149.0,157.7
1959,Altena,35,55386.0,63.2
60,Ameland,0,3673.0,0.0
307,Amersfoort,47,156286.0,30.1
362,Amstelveen,35,90838.0,38.5
363,Amsterdam,297,862965.0,34.4
200,Apeldoorn,34,162445.0,20.9
3,Appingedam,0,11721.0,0.0
202,Arnhem,25,159265.0,15.7
106,Assen,5,67963.0,7.4
743,Asten,6,16710.0,35.9
744,Baarle-Nassau,2,6847.0,29.2
308,Baarn,4,24767.0,16.2
489,Barendrecht,16,48673.0,32.9
203,Barneveld,13,57971.0,22.4
888,Beek,13,15929.0,81.6
1954,Beekdaelen,30,35727.0,84.0
370,Beemster,2,9748.0,20.5
889,Beesel,7,13519.0,51.8
1945,Berg en Dal,37,34798.0,106.3
1724,Bergeijk,10,18491.0,54.1
893,Bergen (L),1,13140.0,7.6
373,Bergen (NH),12,29974.0,40.0
748,Bergen op Zoom,12,66811.0,18.0
1859,Berkelland,2,43904.0,4.6
1721,Bernheze,69,30806.0,224.0
753,Best,19,29821.0,63.7
209,Beuningen,15,25882.0,58.0
375,Beverwijk,11,41176.0,26.7
1728,Bladel,15,20175.0,74.3
376,Blaricum,5,11202.0,44.6
377,Bloemendaal,13,23410.0,55.5
1901,Bodegraven-Reeuwijk,5,34462.0,14.5
755,Boekel,42,10588.0,396.7
1681,Borger-Odoorn,0,25372.0,0.0
147,Borne,11,23210.0,47.4
654,Borsele,5,22800.0,21.9
756,Boxmeer,9,29065.0,31.0
757,Boxtel,15,30747.0,48.8
758,Breda,181,183873.0,98.4
501,Brielle,1,17182.0,5.8
1876,Bronckhorst,7,36212.0,19.3
213,Brummen,4,20698.0,19.3
899,Brunssum,20,28103.0,71.2
312,Bunnik,8,15192.0,52.7
313,Bunschoten,3,21576.0,13.9
214,Buren,7,26568.0,26.3
502,Capelle aan den IJssel,23,66818.0,34.4
383,Castricum,10,35772.0,28.0
109,Coevorden,15,35483.0,42.3
1706,Cranendonck,25,20440.0,122.3
1684,Cuijk,8,24931.0,32.1
216,Culemborg,8,28555.0,28.0
148,Dalfsen,12,28499.0,42.1
1891,Dantumadiel,0,18923.0,0.0
310,De Bilt,32,42824.0,74.7
1940,De Fryske Marren,9,51430.0,17.5
736,De Ronde Venen,9,44059.0,20.4
1690,De Wolden,3,24110.0,12.4
503,Delft,21,103163.0,20.4
10,Delfzijl,1,24716.0,4.0
400,Den Helder,5,55604.0,9.0
762,Deurne,30,32362.0,92.7
150,Deventer,26,99957.0,26.0
384,Diemen,6,29196.0,20.6
1774,Dinkelland,20,26350.0,75.9
221,Doesburg,5,11148.0,44.9
