Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
222,Doetinchem,10,57555.0,17.4
766,Dongen,6,26051.0,23.0
505,Dordrecht,26,118654.0,21.9
498,Drechterland,3,19597.0,15.3
1719,Drimmelen,20,27150.0,73.7
303,Dronten,11,40815.0,27.0
225,Druten,7,18797.0,37.2
226,Duiven,2,25332.0,7.9
1711,Echt-Susteren,20,31638.0,63.2
385,Edam-Volendam,9,36099.0,24.9
228,Ede,26,115710.0,22.5
317,Eemnes,1,9113.0,11.0
770,Eersel,13,19110.0,68.0
1903,Eijsden-Margraten,20,25658.0,77.9
772,Eindhoven,80,231642.0,34.5
230,Elburg,5,23086.0,21.7
114,Emmen,8,107113.0,7.5
388,Enkhuizen,13,18507.0,70.2
153,Enschede,26,158986.0,16.4
232,Epe,15,33145.0,45.3
233,Ermelo,17,26858.0,63.3
777,Etten-Leur,31,43774.0,70.8
779,Geertruidenberg,11,21515.0,51.1
1771,Geldrop-Mierlo,15,39595.0,37.9
1652,Gemert-Bakel,68,30447.0,223.3
907,Gennep,7,17071.0,41.0
784,Gilze en Rijen,18,26431.0,68.1
1924,Goeree-Overflakkee,44,49611.0,88.7
664,Goes,4,37653.0,10.6
785,Goirle,18,23793.0,75.7
1942,Gooise Meren,18,57715.0,31.2
512,Gorinchem,8,36682.0,21.8
513,Gouda,18,73181.0,24.6
786,Grave,11,12483.0,88.1
14,Groningen,58,231299.0,25.1
1729,Gulpen-Wittem,5,14246.0,35.1
158,Haaksbergen,3,24277.0,12.4
788,Haaren,12,14195.0,84.5
392,Haarlem,46,161265.0,28.5
394,Haarlemmermeer,23,154235.0,14.9
1655,Halderberge,8,30194.0,26.5
160,Hardenberg,7,60574.0,11.6
243,Harderwijk,13,47581.0,27.3
523,Hardinxveld-Giessendam,6,18051.0,33.2
72,Harlingen,3,15758.0,19.0
244,Hattem,3,12173.0,24.6
396,Heemskerk,9,39164.0,23.0
397,Heemstede,17,27286.0,62.3
246,Heerde,19,18546.0,102.4
74,Heerenveen,3,50257.0,6.0
398,Heerhugowaard,16,56742.0,28.2
917,Heerlen,53,86832.0,61.0
1658,Heeze-Leende,10,15964.0,62.6
399,Heiloo,9,23464.0,38.4
163,Hellendoorn,7,35808.0,19.5
530,Hellevoetsluis,5,40049.0,12.5
794,Helmond,63,91524.0,68.8
531,Hendrik-Ido-Ambacht,3,30966.0,9.7
164,Hengelo (O),17,80683.0,21.1
1966,Het Hogeland,4,47888.0,8.4
252,Heumen,12,16486.0,72.8
797,Heusden,20,44135.0,45.3
534,Hillegom,3,21966.0,13.7
798,Hilvarenbeek,10,15334.0,65.2
402,Hilversum,16,90238.0,17.7
1963,Hoeksche Waard,36,86656.0,41.5
1735,Hof van Twente,6,34940.0,17.2
1911,Hollands Kroon,10,47815.0,20.9
118,Hoogeveen,7,55662.0,12.6
405,Hoorn,14,73004.0,19.2
1507,Horst aan de Maas,18,42291.0,42.6
321,Houten,37,49911.0,74.1
406,Huizen,7,41273.0,17.0
677,Hulst,1,27524.0,3.6
353,IJsselstein,18,34160.0,52.7
1884,Kaag en Braassem,5,26866.0,18.6
166,Kampen,30,53779.0,55.8
678,Kapelle,2,12785.0,15.6
537,Katwijk,7,65302.0,10.7
928,Kerkrade,21,45642.0,46.0
1598,Koggenland,5,22738.0,22.0
542,Krimpen aan den IJssel,6,29376.0,20.4
1931,Krimpenerwaard,16,56048.0,28.5
1659,Laarbeek,19,22333.0,85.1
1685,Landerd,25,15529.0,161.0
882,Landgraaf,21,37591.0,55.9
415,Landsmeer,6,11488.0,52.2
416,Langedijk,12,27992.0,42.9
1621,Lansingerland,25,61601.0,40.6
417,Laren,4,11195.0,35.7
80,Leeuwarden,12,123107.0,9.7
546,Leiden,21,124899.0,16.8
547,Leiderdorp,3,27109.0,11.1
1916,Leidschendam-Voorburg,14,75425.0,18.6
995,Lelystad,26,77893.0,33.4
1640,Leudal,29,35681.0,81.3
327,Leusden,13,30030.0,43.3
1705,Lingewaard,14,46475.0,30.1
553,Lisse,2,22800.0,8.8
262,Lochem,6,33590.0,17.9
809,Loon op Zand,20,23327.0,85.7
331,Lopik,11,14473.0,76.0
24,Loppersum,0,9614.0,0.0
168,Losser,1,22622.0,4.4
263,Maasdriel,3,24693.0,12.1
1641,Maasgouw,10,23716.0,42.2
556,Maassluis,7,32768.0,21.4
935,Maastricht,112,121565.0,92.1
420,Medemblik,4,44809.0,8.9
938,Meerssen,8,18923.0,42.3
1948,Meierijstad,149,80815.0,184.4
119,Meppel,3,33564.0,8.9
687,Middelburg,7,48544.0,14.4
1842,Midden-Delfland,2,19391.0,10.3
1731,Midden-Drenthe,1,33178.0,3.0
1952,Midden-Groningen,2,60899.0,3.3
815,Mill en Sint Hubert,5,10891.0,45.9
1709,Moerdijk,5,36961.0,13.5
1978,Molenlanden,16,43858.0,36.5
1955,Montferland,3,36026.0,8.3
335,Montfoort,5,13996.0,35.7
944,Mook en Middelaar,5,7806.0,64.1
1740,Neder-Betuwe,11,24034.0,45.8
946,Nederweert,14,17001.0,82.3
356,Nieuwegein,12,63036.0,19.0
569,Nieuwkoop,6,28628.0,21.0
267,Nijkerk,8,42943.0,18.6
268,Nijmegen,108,176731.0,61.1
1930,Nissewaard,19,84797.0,22.4
1970,Noardeast-Fryslân,3,45181.0,6.6
1695,Noord-Beveland,2,7308.0,27.4
1699,Noordenveld,1,31290.0,3.2
171,Noordoostpolder,5,46849.0,10.7
575,Noordwijk,7,42859.0,16.3
820,"Nuenen, Gerwen en Nederwetten",8,23186.0,34.5
302,Nunspeet,29,27481.0,105.5
579,Oegstgeest,9,24426.0,36.8
823,Oirschot,6,18623.0,32.2
824,Oisterwijk,18,26140.0,68.9
1895,Oldambt,0,38129.0,0.0
269,Oldebroek,12,23598.0,50.9
173,Oldenzaal,13,31840.0,40.8
1773,Olst-Wijhe,6,18071.0,33.2
175,Ommen,7,17813.0,39.3
1586,Oost Gelre,6,29704.0,20.2
826,Oosterhout,26,55616.0,46.7
85,Ooststellingwerf,1,25497.0,3.9
431,Oostzaan,6,9757.0,61.5
432,Opmeer,0,11779.0,0.0
86,Opsterland,4,29723.0,13.5
828,Oss,81,91451.0,88.6
1509,Oude IJsselstreek,4,39473.0,10.1
437,Ouder-Amstel,7,13916.0,50.3
589,Oudewater,10,10201.0,98.0
1734,Overbetuwe,38,47543.0,79.9
590,Papendrecht,6,32290.0,18.6
1894,Peel en Maas,88,43311.0,203.2
765,Pekela,2,12214.0,16.4
1926,Pijnacker-Nootdorp,16,54331.0,29.4
439,Purmerend,32,80117.0,39.9
273,Putten,5,24198.0,20.7
177,Raalte,10,37511.0,26.7
703,Reimerswaal,7,22678.0,30.9
274,Renkum,12,31302.0,38.3
339,Renswoude,0,5259.0,0.0
1667,Reusel-De Mierden,1,13060.0,7.7
275,Rheden,18,43640.0,41.2
340,Rhenen,1,20004.0,5.0
597,Ridderkerk,9,46241.0,19.5
1742,Rijssen-Holten,9,38300.0,23.5
603,Rijswijk,10,53467.0,18.7
1669,Roerdalen,10,20615.0,48.5
957,Roermond,28,58209.0,48.1
1674,Roosendaal,20,77032.0,26.0
599,Rotterdam,186,644618.0,28.9
277,Rozendaal,2,1654.0,120.9
840,Rucphen,6,22572.0,26.6
441,Schagen,11,46553.0,23.6
279,Scherpenzeel,2,9873.0,20.3
606,Schiedam,14,77999.0,17.9
88,Schiermonnikoog,0,936.0,0.0
1676,Schouwen-Duiveland,6,33779.0,17.8
965,Simpelveld,8,10516.0,76.1
1702,Sint Anthonis,13,11606.0,112.0
845,Sint-Michielsgestel,18,28991.0,62.1
1883,Sittard-Geleen,86,92661.0,92.8
610,Sliedrecht,5,25026.0,20.0
1714,Sluis,5,23386.0,21.4
90,Smallingerland,4,55938.0,7.2
342,Soest,21,46194.0,45.5
847,Someren,10,19322.0,51.8
848,Son en Breugel,15,16904.0,88.7
37,Stadskanaal,0,31789.0,0.0
180,Staphorst,4,17003.0,23.5
532,Stede Broec,13,21706.0,59.9
851,Steenbergen,11,25054.0,43.9
1708,Steenwijkerland,6,43940.0,13.7
971,Stein,24,24961.0,96.1
1904,Stichtse Vecht,22,64336.0,34.2
1900,Súdwest-Fryslân,8,89710.0,8.9
715,Terneuzen,10,54589.0,18.3
93,Terschelling,0,4890.0,0.0
448,Texel,3,13547.0,22.1
1525,Teylingen,8,37061.0,21.6
716,Tholen,13,25780.0,50.4
281,Tiel,14,41978.0,33.4
855,Tilburg,224,217259.0,103.1
183,Tubbergen,4,21276.0,18.8
1700,Twenterand,3,33792.0,8.9
1730,Tynaarlo,13,33698.0,38.6
737,Tytsjerksteradiel,2,31780.0,6.3
856,Uden,94,41782.0,225.0
450,Uitgeest,4,13528.0,29.6
451,Uithoorn,5,29424.0,17.0
184,Urk,7,20776.0,33.7
344,Utrecht,191,352866.0,54.1
1581,Utrechtse Heuvelrug,15,49515.0,30.3
981,Vaals,4,10092.0,39.6
994,Valkenburg aan de Geul,9,16470.0,54.6
858,Valkenswaard,9,30910.0,29.1
47,Veendam,1,27491.0,3.6
345,Veenendaal,7,65589.0,10.7
717,Veere,6,21835.0,27.5
861,Veldhoven,18,45337.0,39.7
453,Velsen,15,68348.0,21.9
983,Venlo,47,101603.0,46.3
984,Venray,17,43326.0,39.2
1961,Vijfheerenlanden,21,55712.0,37.7
622,Vlaardingen,22,72404.0,30.4
96,Vlieland,0,1138.0,0.0
718,Vlissingen,8,44371.0,18.0
986,Voerendaal,6,12452.0,48.2
626,Voorschoten,5,25479.0,19.6
285,Voorst,6,24417.0,24.6
865,Vught,22,26396.0,83.3
1949,Waadhoeke,0,46039.0,0.0
866,Waalre,2,17247.0,11.6
867,Waalwijk,34,48240.0,70.5
627,Waddinxveen,5,28316.0,17.7
289,Wageningen,3,38774.0,7.7
629,Wassenaar,5,26211.0,19.1
852,Waterland,11,17315.0,63.5
988,Weert,24,49842.0,48.2
457,Weesp,6,19334.0,31.0
1960,West Betuwe,19,50697.0,37.5
668,West Maas en Waal,11,19076.0,57.7
1969,Westerkwartier,9,63031.0,14.3
1701,Westerveld,2,19348.0,10.3
293,Westervoort,2,14944.0,13.4
1950,Westerwolde,3,25199.0,11.9
1783,Westland,28,108603.0,25.8
98,Weststellingwerf,1,25840.0,3.9
614,Westvoorne,8,14626.0,54.7
189,Wierden,1,24351.0,4.1
296,Wijchen,24,40951.0,58.6
1696,Wijdemeren,3,24013.0,12.5
352,Wijk bij Duurstede,6,23762.0,25.3
294,Winterswijk,2,28903.0,6.9
873,Woensdrecht,5,21866.0,22.9
632,Woerden,22,52197.0,42.1
880,Wormerland,3,16329.0,18.4
351,Woudenberg,6,13166.0,45.6
479,Zaanstad,29,155885.0,18.6
297,Zaltbommel,7,28451.0,24.6
473,Zandvoort,6,17011.0,35.3
50,Zeewolde,5,22309.0,22.4
355,Zeist,25,63934.0,39.1
299,Zevenaar,10,43488.0,23.0
637,Zoetermeer,13,124944.0,10.4
638,Zoeterwoude,1,8450.0,11.8
1892,Zuidplas,6,42762.0,14.0
879,Zundert,14,21612.0,64.8
301,Zutphen,8,47609.0,16.8
1896,Zwartewaterland,30,22503.0,133.3
642,Zwijndrecht,9,44639.0,20.2
193,Zwolle,47,127497.0,36.9
