,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,796,'s-Hertogenbosch,72,155113,46.4
1,1680,Aa en Hunze,1,25453,3.9
2,358,Aalsmeer,6,31857,18.8
3,197,Aalten,1,27117,3.7
4,59,Achtkarspelen,0,27836,0.0
5,482,Alblasserdam,3,20165,14.9
6,613,Albrandswaard,5,25589,19.5
7,361,Alkmaar,24,109444,21.9
8,141,Almelo,12,73080,16.4
9,34,Almere,61,211840,28.8
10,484,Alphen aan den Rijn,33,111889,29.5
11,1723,Alphen-Chaam,10,10213,97.9
12,1959,Altena,19,55980,33.9
13,60,Ameland,0,3718,0.0
14,307,Amersfoort,28,157279,17.8
15,362,Amstelveen,31,91691,33.8
16,363,Amsterdam,263,872779,30.1
17,200,Apeldoorn,22,163829,13.4
18,3,Appingedam,1,11644,8.6
19,202,Arnhem,33,161368,20.5
20,106,Assen,7,68606,10.2
21,743,Asten,6,16734,35.9
22,744,Baarle-Nassau,1,6860,14.6
23,308,Baarn,4,24873,16.1
24,489,Barendrecht,18,48713,37.0
25,203,Barneveld,8,59077,13.5
26,888,Beek,7,15868,44.1
27,1954,Beekdaelen,28,35976,77.8
28,370,Beemster,2,10025,20.0
29,889,Beesel,11,13483,81.6
30,1945,Berg en Dal,19,34990,54.3
31,1724,Bergeijk,5,18638,26.8
32,893,Bergen (L.),3,13085,22.9
33,373,Bergen (NH.),11,29844,36.9
34,748,Bergen op Zoom,13,67489,19.3
35,1859,Berkelland,1,43748,2.3
36,1721,Bernheze,65,31247,208.0
37,753,Best,21,29985,70.0
38,209,Beuningen,14,25891,54.1
39,375,Beverwijk,7,41613,16.8
40,1728,Bladel,11,20395,53.9
41,376,Blaricum,5,11536,43.3
42,377,Bloemendaal,3,23570,12.7
43,1901,Bodegraven-Reeuwijk,3,34869,8.6
44,755,Boekel,26,10784,241.1
45,1681,Borger-Odoorn,1,25558,3.9
46,147,Borne,10,23313,42.9
47,654,Borsele,3,22738,13.2
48,756,Boxmeer,11,29371,37.5
49,757,Boxtel,9,30803,29.2
50,758,Breda,121,184271,65.7
51,501,Brielle,5,17282,28.9
52,1876,Bronckhorst,1,36052,2.8
53,213,Brummen,5,20756,24.1
54,899,Brunssum,21,27817,75.5
55,312,Bunnik,4,15191,26.3
56,313,Bunschoten,2,21867,9.1
57,214,Buren,5,26742,18.7
58,502,Capelle aan den IJssel,23,67151,34.3
59,383,Castricum,8,35988,22.2
60,109,Coevorden,6,35296,17.0
61,1706,Cranendonck,38,21166,179.5
62,1684,Cuijk,6,25139,23.9
63,216,Culemborg,17,28956,58.7
64,148,Dalfsen,9,28585,31.5
65,1891,Dantumadiel,1,18916,5.3
66,310,De Bilt,13,43124,30.1
67,1940,De Fryske Marren,11,51567,21.3
68,736,De Ronde Venen,16,44457,36.0
69,1690,De Wolden,2,24327,8.2
70,503,Delft,23,103659,22.2
71,10,Delfzijl,4,24666,16.2
72,400,Den Helder,6,56305,10.7
73,762,Deurne,39,32474,120.1
74,150,Deventer,25,100718,24.8
75,384,Diemen,4,30781,13.0
76,1774,Dinkelland,15,26470,56.7
77,221,Doesburg,3,11078,27.1
78,222,Doetinchem,5,58009,8.6
79,766,Dongen,10,26226,38.1
80,505,Dordrecht,32,119300,26.8
81,498,Drechterland,1,19717,5.1
82,1719,Drimmelen,14,27274,51.3
83,303,Dronten,12,41569,28.9
