,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,-1,Unknown,237,,
1,518,'s-Gravenhage,103,537833.0,19.2
2,796,'s-Hertogenbosch,87,154205.0,56.4
3,1680,Aa en Hunze,3,25386.0,11.8
4,358,Aalsmeer,11,31728.0,34.7
5,197,Aalten,2,27011.0,7.4
6,59,Achtkarspelen,1,27852.0,3.6
7,482,Alblasserdam,6,20069.0,29.9
8,613,Albrandswaard,19,25271.0,75.2
9,361,Alkmaar,29,108558.0,26.7
10,141,Almelo,12,72849.0,16.5
11,34,Almere,32,207904.0,15.4
12,484,Alphen aan den Rijn,30,110986.0,27.0
13,1723,Alphen-Chaam,19,10149.0,187.2
14,1959,Altena,35,55386.0,63.2
15,60,Ameland,0,3673.0,0.0
16,307,Amersfoort,54,156286.0,34.6
17,362,Amstelveen,46,90838.0,50.6
18,363,Amsterdam,351,862965.0,40.7
19,200,Apeldoorn,39,162445.0,24.0
20,3,Appingedam,0,11721.0,0.0
21,202,Arnhem,34,159265.0,21.3
22,106,Assen,7,67963.0,10.3
23,743,Asten,6,16710.0,35.9
24,744,Baarle-Nassau,2,6847.0,29.2
25,308,Baarn,5,24767.0,20.2
26,489,Barendrecht,19,48673.0,39.0
27,203,Barneveld,13,57971.0,22.4
28,888,Beek,13,15929.0,81.6
29,1954,Beekdaelen,32,35727.0,89.6
30,370,Beemster,2,9748.0,20.5
31,889,Beesel,8,13519.0,59.2
32,1945,Berg en Dal,43,34798.0,123.6
33,1724,Bergeijk,11,18491.0,59.5
34,893,Bergen (L),1,13140.0,7.6
35,373,Bergen (NH),14,29974.0,46.7
36,748,Bergen op Zoom,13,66811.0,19.5
37,1859,Berkelland,2,43904.0,4.6
38,1721,Bernheze,83,30806.0,269.4
39,753,Best,21,29821.0,70.4
40,209,Beuningen,15,25882.0,58.0
41,375,Beverwijk,12,41176.0,29.1
42,1728,Bladel,15,20175.0,74.3
43,376,Blaricum,6,11202.0,53.6
44,377,Bloemendaal,16,23410.0,68.3
45,1901,Bodegraven-Reeuwijk,8,34462.0,23.2
46,755,Boekel,42,10588.0,396.7
47,1681,Borger-Odoorn,0,25372.0,0.0
48,147,Borne,12,23210.0,51.7
49,654,Borsele,6,22800.0,26.3
50,756,Boxmeer,10,29065.0,34.4
51,757,Boxtel,19,30747.0,61.8
52,758,Breda,201,183873.0,109.3
53,501,Brielle,2,17182.0,11.6
54,1876,Bronckhorst,8,36212.0,22.1
55,213,Brummen,4,20698.0,19.3
56,899,Brunssum,22,28103.0,78.3
57,312,Bunnik,9,15192.0,59.2
58,313,Bunschoten,3,21576.0,13.9
59,214,Buren,7,26568.0,26.3
60,502,Capelle aan den IJssel,26,66818.0,38.9
61,383,Castricum,13,35772.0,36.3
62,109,Coevorden,17,35483.0,47.9
63,1706,Cranendonck,31,20440.0,151.7
64,1684,Cuijk,8,24931.0,32.1
65,216,Culemborg,14,28555.0,49.0
66,148,Dalfsen,13,28499.0,45.6
67,1891,Dantumadiel,1,18923.0,5.3
68,310,De Bilt,34,42824.0,79.4
69,1940,De Fryske Marren,12,51430.0,23.3
70,736,De Ronde Venen,13,44059.0,29.5
71,1690,De Wolden,3,24110.0,12.4
72,503,Delft,25,103163.0,24.2
73,10,Delfzijl,2,24716.0,8.1
74,400,Den Helder,6,55604.0,10.8
75,762,Deurne,35,32362.0,108.2
76,150,Deventer,30,99957.0,30.0
77,384,Diemen,6,29196.0,20.6
78,1774,Dinkelland,25,26350.0,94.9
79,221,Doesburg,5,11148.0,44.9
80,222,Doetinchem,17,57555.0,29.5
81,766,Dongen,6,26051.0,23.0
82,505,Dordrecht,28,118654.0,23.6
83,498,Drechterland,4,19597.0,20.4
84,1719,Drimmelen,21,27150.0,77.3
85,303,Dronten,11,40815.0,27.0
86,225,Druten,7,18797.0,37.2
87,226,Duiven,3,25332.0,11.8
88,1711,Echt-Susteren,23,31638.0,72.7
89,385,Edam-Volendam,10,36099.0,27.7
90,228,Ede,33,115710.0,28.5
91,317,Eemnes,1,9113.0,11.0
92,770,Eersel,14,19110.0,73.3
93,1903,Eijsden-Margraten,26,25658.0,101.3
94,772,Eindhoven,93,231642.0,40.1
95,230,Elburg,6,23086.0,26.0
96,114,Emmen,8,107113.0,7.5
97,388,Enkhuizen,15,18507.0,81.1
98,153,Enschede,34,158986.0,21.4
99,232,Epe,16,33145.0,48.3
100,233,Ermelo,17,26858.0,63.3
101,777,Etten-Leur,37,43774.0,84.5
102,779,Geertruidenberg,11,21515.0,51.1
103,1771,Geldrop-Mierlo,16,39595.0,40.4
104,1652,Gemert-Bakel,71,30447.0,233.2
105,907,Gennep,8,17071.0,46.9
106,784,Gilze en Rijen,19,26431.0,71.9
107,1924,Goeree-Overflakkee,56,49611.0,112.9
108,664,Goes,7,37653.0,18.6
109,785,Goirle,21,23793.0,88.3
110,1942,Gooise Meren,20,57715.0,34.7
111,512,Gorinchem,9,36682.0,24.5
112,513,Gouda,25,73181.0,34.2
113,786,Grave,14,12483.0,112.2
114,14,Groningen,76,231299.0,32.9
115,1729,Gulpen-Wittem,5,14246.0,35.1
116,158,Haaksbergen,4,24277.0,16.5
117,788,Haaren,14,14195.0,98.6
118,392,Haarlem,54,161265.0,33.5
119,394,Haarlemmermeer,30,154235.0,19.5
120,1655,Halderberge,8,30194.0,26.5
121,160,Hardenberg,9,60574.0,14.9
122,243,Harderwijk,14,47581.0,29.4
123,523,Hardinxveld-Giessendam,6,18051.0,33.2
124,72,Harlingen,3,15758.0,19.0
125,244,Hattem,5,12173.0,41.1
126,396,Heemskerk,10,39164.0,25.5
127,397,Heemstede,21,27286.0,77.0
128,246,Heerde,24,18546.0,129.4
129,74,Heerenveen,4,50257.0,8.0
130,398,Heerhugowaard,19,56742.0,33.5
131,917,Heerlen,63,86832.0,72.6
132,1658,Heeze-Leende,10,15964.0,62.6
133,399,Heiloo,10,23464.0,42.6
134,163,Hellendoorn,7,35808.0,19.5
135,530,Hellevoetsluis,7,40049.0,17.5
136,794,Helmond,66,91524.0,72.1
137,531,Hendrik-Ido-Ambacht,5,30966.0,16.1
138,164,Hengelo (O),21,80683.0,26.0
139,1966,Het Hogeland,6,47888.0,12.5
140,252,Heumen,15,16486.0,91.0
141,797,Heusden,25,44135.0,56.6
142,534,Hillegom,3,21966.0,13.7
143,798,Hilvarenbeek,10,15334.0,65.2
144,402,Hilversum,18,90238.0,19.9
145,1963,Hoeksche Waard,43,86656.0,49.6
146,1735,Hof van Twente,8,34940.0,22.9
147,1911,Hollands Kroon,14,47815.0,29.3
148,118,Hoogeveen,7,55662.0,12.6
149,405,Hoorn,15,73004.0,20.5
150,1507,Horst aan de Maas,20,42291.0,47.3
151,321,Houten,43,49911.0,86.2
152,406,Huizen,8,41273.0,19.4
153,677,Hulst,1,27524.0,3.6
154,353,IJsselstein,23,34160.0,67.3
155,1884,Kaag en Braassem,5,26866.0,18.6
156,166,Kampen,41,53779.0,76.2
157,678,Kapelle,2,12785.0,15.6
158,537,Katwijk,10,65302.0,15.3
159,928,Kerkrade,26,45642.0,57.0
160,1598,Koggenland,6,22738.0,26.4
161,542,Krimpen aan den IJssel,7,29376.0,23.8
162,1931,Krimpenerwaard,19,56048.0,33.9
163,1659,Laarbeek,24,22333.0,107.5
164,1685,Landerd,34,15529.0,218.9
165,882,Landgraaf,25,37591.0,66.5
166,415,Landsmeer,7,11488.0,60.9
167,416,Langedijk,13,27992.0,46.4
168,1621,Lansingerland,28,61601.0,45.5
169,417,Laren,5,11195.0,44.7
170,80,Leeuwarden,15,123107.0,12.2
171,546,Leiden,28,124899.0,22.4
172,547,Leiderdorp,4,27109.0,14.8
173,1916,Leidschendam-Voorburg,17,75425.0,22.5
174,995,Lelystad,27,77893.0,34.7
175,1640,Leudal,32,35681.0,89.7
176,327,Leusden,13,30030.0,43.3
177,1705,Lingewaard,14,46475.0,30.1
178,553,Lisse,2,22800.0,8.8
179,262,Lochem,8,33590.0,23.8
180,809,Loon op Zand,21,23327.0,90.0
181,331,Lopik,12,14473.0,82.9
182,24,Loppersum,1,9614.0,10.4
183,168,Losser,1,22622.0,4.4
184,263,Maasdriel,5,24693.0,20.2
185,1641,Maasgouw,12,23716.0,50.6
