,Gemeente,28/03/2020,27/03/2020,26/03/2020,25/03/2020,24/03/2020,23/03/2020,22/03/2020,21/03/2020,20/03/2020,19/03/2020,18/03/2020,17/03/2020,16/03/2020,15/03/2020,14/03/2020,13/03/2020,12/03/2020,11/03/2020,10/03/2020,09/03/2020,08/03/2020
32,Berg en Dal,53.0,44.0,43.0,37.0,35.0,33.0,30.0,25.0,20.0,18.0,14.0,14.0,10.0,6.0,6.0,5.0,3.0,3.0,1.0,0.0,0.0
33,Bergeijk,14.0,13.0,11.0,10.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
34,Bergen (L.),2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Bergen (NH.),20.0,16.0,14.0,12.0,12.0,9.0,8.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Bergen op Zoom,17.0,15.0,13.0,12.0,12.0,12.0,10.0,9.0,8.0,6.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,Berkelland,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Bernheze,95.0,87.0,83.0,69.0,67.0,62.0,57.0,41.0,37.0,30.0,26.0,20.0,19.0,16.0,15.0,13.0,4.0,2.0,2.0,2.0,1.0
39,Best,23.0,23.0,21.0,19.0,17.0,14.0,14.0,11.0,8.0,6.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
40,Beuningen,18.0,16.0,15.0,15.0,13.0,12.0,11.0,9.0,8.0,6.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0
41,Beverwijk,17.0,13.0,12.0,11.0,11.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
42,Bladel,18.0,15.0,15.0,15.0,14.0,12.0,11.0,7.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Blaricum,6.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,Bloemendaal,19.0,17.0,16.0,13.0,13.0,11.0,8.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
