,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,796,'s-Hertogenbosch,97,155113,62.5
1,1680,Aa en Hunze,1,25453,3.9
2,358,Aalsmeer,8,31857,25.1
3,197,Aalten,1,27117,3.7
4,59,Achtkarspelen,0,27836,0.0
5,482,Alblasserdam,6,20165,29.8
6,613,Albrandswaard,5,25589,19.5
7,361,Alkmaar,36,109444,32.9
8,141,Almelo,15,73080,20.5
9,34,Almere,80,211840,37.8
10,484,Alphen aan den Rijn,40,111889,35.7
11,1723,Alphen-Chaam,14,10213,137.1
12,1959,Altena,24,55980,42.9
13,60,Ameland,0,3718,0.0
14,307,Amersfoort,37,157279,23.5
15,362,Amstelveen,39,91691,42.5
16,363,Amsterdam,341,872779,39.1
17,200,Apeldoorn,30,163829,18.3
18,3,Appingedam,2,11644,17.2
19,202,Arnhem,46,161368,28.5
20,106,Assen,9,68606,13.1
21,743,Asten,8,16734,47.8
22,744,Baarle-Nassau,1,6860,14.6
23,308,Baarn,7,24873,28.1
24,489,Barendrecht,21,48713,43.1
25,203,Barneveld,10,59077,16.9
26,888,Beek,11,15868,69.3
27,1954,Beekdaelen,34,35976,94.5
28,370,Beemster,4,10025,39.9
29,889,Beesel,13,13483,96.4
30,1945,Berg en Dal,25,34990,71.4
31,1724,Bergeijk,9,18638,48.3
32,893,Bergen (L.),5,13085,38.2
33,373,Bergen (NH.),15,29844,50.3
34,748,Bergen op Zoom,15,67489,22.2
35,1859,Berkelland,2,43748,4.6
36,1721,Bernheze,72,31247,230.4
37,753,Best,24,29985,80.0
38,209,Beuningen,17,25891,65.7
39,375,Beverwijk,10,41613,24.0
40,1728,Bladel,13,20395,63.7
41,376,Blaricum,5,11536,43.3
42,377,Bloemendaal,5,23570,21.2
43,1901,Bodegraven-Reeuwijk,5,34869,14.3
44,755,Boekel,28,10784,259.6
45,1681,Borger-Odoorn,2,25558,7.8
46,147,Borne,13,23313,55.8
47,654,Borsele,4,22738,17.6
48,756,Boxmeer,15,29371,51.1
49,757,Boxtel,12,30803,39.0
50,758,Breda,127,184271,68.9
51,501,Brielle,7,17282,40.5
52,1876,Bronckhorst,2,36052,5.5
53,213,Brummen,7,20756,33.7
54,899,Brunssum,25,27817,89.9
55,312,Bunnik,6,15191,39.5
56,313,Bunschoten,3,21867,13.7
57,214,Buren,7,26742,26.2
58,502,Capelle aan den IJssel,27,67151,40.2
59,383,Castricum,13,35988,36.1
60,109,Coevorden,9,35296,25.5
61,1706,Cranendonck,45,21166,212.6
62,1684,Cuijk,8,25139,31.8
63,216,Culemborg,20,28956,69.1
64,148,Dalfsen,13,28585,45.5
65,1891,Dantumadiel,2,18916,10.6
66,310,De Bilt,19,43124,44.1
67,1940,De Fryske Marren,12,51567,23.3
68,736,De Ronde Venen,22,44457,49.5
69,1690,De Wolden,5,24327,20.6
70,503,Delft,29,103659,28.0
71,10,Delfzijl,5,24666,20.3
72,400,Den Helder,8,56305,14.2
73,762,Deurne,44,32474,135.5
74,150,Deventer,29,100718,28.8
75,384,Diemen,4,30781,13.0
76,1774,Dinkelland,16,26470,60.4
77,221,Doesburg,4,11078,36.1
78,222,Doetinchem,7,58009,12.1
79,766,Dongen,12,26226,45.8
80,505,Dordrecht,55,119300,46.1
81,498,Drechterland,2,19717,10.1
82,1719,Drimmelen,15,27274,55.0
83,303,Dronten,15,41569,36.1
84,225,Druten,16,18918,84.6
85,226,Duiven,7,25124,27.9
86,1711,Echt-Susteren,30,31618,94.9
87,385,Edam-Volendam,14,36201,38.7
88,228,Ede,42,117166,35.8
89,317,Eemnes,1,9247,10.8
90,770,Eersel,18,19314,93.2
91,1903,Eijsden-Margraten,36,25753,139.8
92,772,Eindhoven,93,234456,39.7
93,230,Elburg,6,23161,25.9
94,114,Emmen,12,107055,11.2
95,388,Enkhuizen,15,18592,80.7
96,153,Enschede,39,159734,24.4
97,232,Epe,13,33186,39.2
98,233,Ermelo,14,27005,51.8
99,777,Etten-Leur,31,43880,70.6
