,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,-1,Unknown,310,,
1,796,'s-Hertogenbosch,150,155113.0,96.7
2,1680,Aa en Hunze,5,25453.0,19.6
3,358,Aalsmeer,18,31857.0,56.5
4,197,Aalten,5,27117.0,18.4
5,59,Achtkarspelen,2,27836.0,7.2
6,482,Alblasserdam,7,20165.0,34.7
7,613,Albrandswaard,25,25589.0,97.7
8,361,Alkmaar,49,109444.0,44.8
9,141,Almelo,20,73080.0,27.4
10,34,Almere,60,211840.0,28.3
11,484,Alphen aan den Rijn,44,111889.0,39.3
12,1723,Alphen-Chaam,26,10213.0,254.6
13,1959,Altena,44,55980.0,78.6
14,60,Ameland,0,3718.0,0.0
15,307,Amersfoort,69,157279.0,43.9
16,362,Amstelveen,81,91691.0,88.3
17,363,Amsterdam,571,872779.0,65.4
18,200,Apeldoorn,60,163829.0,36.6
19,3,Appingedam,1,11644.0,8.6
20,202,Arnhem,63,161368.0,39.0
21,106,Assen,12,68606.0,17.5
22,743,Asten,17,16734.0,101.6
23,744,Baarle-Nassau,3,6860.0,43.7
24,308,Baarn,7,24873.0,28.1
25,489,Barendrecht,30,48713.0,61.6
26,203,Barneveld,22,59077.0,37.2
27,888,Beek,15,15868.0,94.5
28,1954,Beekdaelen,43,35976.0,119.5
29,370,Beemster,6,10025.0,59.9
30,889,Beesel,15,13483.0,111.3
31,1945,Berg en Dal,69,34990.0,197.2
32,1724,Bergeijk,14,18638.0,75.1
33,893,Bergen (L.),4,13085.0,30.6
34,373,Bergen (NH.),23,29844.0,77.1
35,748,Bergen op Zoom,17,67489.0,25.2
36,1859,Berkelland,5,43748.0,11.4
37,1721,Bernheze,117,31247.0,374.4
38,753,Best,27,29985.0,90.0
39,209,Beuningen,24,25891.0,92.7
40,375,Beverwijk,22,41613.0,52.9
41,1728,Bladel,21,20395.0,103.0
42,376,Blaricum,6,11536.0,52.0
43,377,Bloemendaal,19,23570.0,80.6
44,1901,Bodegraven-Reeuwijk,12,34869.0,34.4
45,755,Boekel,61,10784.0,565.7
46,1681,Borger-Odoorn,2,25558.0,7.8
47,147,Borne,21,23313.0,90.1
48,654,Borsele,7,22738.0,30.8
49,756,Boxmeer,25,29371.0,85.1
50,757,Boxtel,26,30803.0,84.4
51,758,Breda,245,184271.0,133.0
52,501,Brielle,11,17282.0,63.7
53,1876,Bronckhorst,11,36052.0,30.5
54,213,Brummen,8,20756.0,38.5
55,899,Brunssum,31,27817.0,111.4
56,312,Bunnik,10,15191.0,65.8
57,313,Bunschoten,6,21867.0,27.4
58,214,Buren,9,26742.0,33.7
59,502,Capelle aan den IJssel,44,67151.0,65.5
60,383,Castricum,24,35988.0,66.7
61,109,Coevorden,20,35296.0,56.7
62,1706,Cranendonck,58,21166.0,274.0
63,1684,Cuijk,14,25139.0,55.7
64,216,Culemborg,20,28956.0,69.1
65,148,Dalfsen,16,28585.0,56.0
66,1891,Dantumadiel,3,18916.0,15.9
67,310,De Bilt,42,43124.0,97.4
68,1940,De Fryske Marren,22,51567.0,42.7
69,736,De Ronde Venen,24,44457.0,54.0
70,1690,De Wolden,7,24327.0,28.8
71,503,Delft,34,103659.0,32.8
72,10,Delfzijl,7,24666.0,28.4
73,400,Den Helder,11,56305.0,19.5
74,762,Deurne,58,32474.0,178.6
75,150,Deventer,53,100718.0,52.6
76,384,Diemen,9,30781.0,29.2
77,1774,Dinkelland,34,26470.0,128.4
78,221,Doesburg,6,11078.0,54.2
79,222,Doetinchem,24,58009.0,41.4
80,766,Dongen,21,26226.0,80.1
81,505,Dordrecht,46,119300.0,38.6
82,498,Drechterland,7,19717.0,35.5
83,1719,Drimmelen,30,27274.0,110.0
84,303,Dronten,13,41569.0,31.3
85,225,Druten,18,18918.0,95.1
86,226,Duiven,7,25124.0,27.9
87,1711,Echt-Susteren,32,31618.0,101.2
88,385,Edam-Volendam,16,36201.0,44.2
89,228,Ede,50,117166.0,42.7
90,317,Eemnes,2,9247.0,21.6
91,770,Eersel,23,19314.0,119.1
92,1903,Eijsden-Margraten,53,25753.0,205.8
93,772,Eindhoven,143,234456.0,61.0
94,230,Elburg,18,23161.0,77.7
95,114,Emmen,15,107055.0,14.0
96,388,Enkhuizen,18,18592.0,96.8
97,153,Enschede,55,159734.0,34.4
98,232,Epe,33,33186.0,99.4
99,233,Ermelo,23,27005.0,85.2
100,777,Etten-Leur,54,43880.0,123.1
101,779,Geertruidenberg,15,21538.0,69.6
102,1771,Geldrop-Mierlo,26,39733.0,65.4
103,1652,Gemert-Bakel,94,30725.0,305.9
104,907,Gennep,19,16924.0,112.3
105,784,Gilze en Rijen,29,26438.0,109.7
106,1924,Goeree-Overflakkee,112,50049.0,223.8
107,664,Goes,17,38080.0,44.6
108,785,Goirle,34,23906.0,142.2
109,1942,Gooise Meren,26,58041.0,44.8
110,512,Gorinchem,25,37009.0,67.6
111,513,Gouda,43,73443.0,58.5
112,786,Grave,25,12437.0,201.0
113,14,Groningen,88,232922.0,37.8
114,1729,Gulpen-Wittem,11,14176.0,77.6
115,158,Haaksbergen,10,24309.0,41.1
116,788,Haaren,23,14371.0,160.0
117,392,Haarlem,86,162961.0,52.8
118,394,Haarlemmermeer,61,156039.0,39.1
119,1655,Halderberge,14,30277.0,46.2
120,160,Hardenberg,21,60940.0,34.5
121,243,Harderwijk,25,48429.0,51.6
122,523,Hardinxveld-Giessendam,10,18295.0,54.7
123,72,Harlingen,4,15720.0,25.4
124,244,Hattem,12,12213.0,98.3
125,396,Heemskerk,27,39188.0,68.9
126,397,Heemstede,32,27239.0,117.5
127,246,Heerde,40,18587.0,215.2
128,74,Heerenveen,9,50494.0,17.8
129,398,Heerhugowaard,31,57592.0,53.8
130,917,Heerlen,87,87057.0,99.9
131,1658,Heeze-Leende,16,16150.0,99.1
132,399,Heiloo,17,23974.0,70.9
133,163,Hellendoorn,14,35923.0,39.0
134,530,Hellevoetsluis,15,40158.0,37.4
135,794,Helmond,105,92432.0,113.6
136,531,Hendrik-Ido-Ambacht,6,31204.0,19.2
137,164,Hengelo,40,81147.0,49.3
138,1966,Het Hogeland,9,47834.0,18.8
139,252,Heumen,20,16450.0,121.6
140,797,Heusden,46,44699.0,102.9
141,534,Hillegom,6,22208.0,27.0
142,798,Hilvarenbeek,13,15514.0,83.8
143,402,Hilversum,25,90883.0,27.5
144,1963,Hoeksche Waard,62,87461.0,70.9
145,1735,Hof van Twente,18,35013.0,51.4
146,1911,Hollands Kroon,25,48434.0,51.6
147,118,Hoogeveen,13,55697.0,23.3
148,405,Hoorn,23,73232.0,31.4
149,1507,Horst aan de Maas,34,42433.0,80.1
150,321,Houten,58,50146.0,115.7
151,406,Huizen,13,41273.0,31.5
152,677,Hulst,6,27556.0,21.8
153,353,IJsselstein,38,34110.0,111.4
154,1884,Kaag en Braassem,8,27300.0,29.3
155,166,Kampen,69,54340.0,127.0
156,678,Kapelle,2,12691.0,15.8
157,537,Katwijk,24,65754.0,36.5
158,928,Kerkrade,36,45744.0,78.7
159,1598,Koggenland,10,22752.0,44.0
160,542,Krimpen aan den IJssel,15,29533.0,50.8
161,1931,Krimpenerwaard,38,56319.0,67.5
162,1659,Laarbeek,45,22530.0,199.7
163,1685,Landerd,50,15730.0,317.9
164,882,Landgraaf,32,37457.0,85.4
165,415,Landsmeer,8,11492.0,69.6
166,416,Langedijk,16,28157.0,56.8
167,1621,Lansingerland,49,62396.0,78.5
168,417,Laren,8,11274.0,71.0
169,80,Leeuwarden,23,124058.0,18.5
170,546,Leiden,39,125174.0,31.2
171,547,Leiderdorp,7,27059.0,25.9
172,1916,Leidschendam-Voorburg,24,76553.0,31.4
173,995,Lelystad,34,78619.0,43.2
174,1640,Leudal,52,35896.0,144.9
175,327,Leusden,19,30399.0,62.5
176,1705,Lingewaard,28,46606.0,60.1
177,553,Lisse,4,22957.0,17.4
178,262,Lochem,14,33730.0,41.5
179,809,Loon op Zand,31,23407.0,132.4
180,331,Lopik,17,14471.0,117.5
181,24,Loppersum,1,9533.0,10.5
182,168,Losser,3,22685.0,13.2
183,263,Maasdriel,12,25034.0,47.9
184,1641,Maasgouw,13,23960.0,54.3
185,556,Maassluis,15,33216.0,45.2
186,935,Maastricht,185,121558.0,152.2
187,420,Medemblik,22,45104.0,48.8
188,938,Meerssen,13,18832.0,69.0
189,1948,Meierijstad,243,81197.0,299.3
190,119,Meppel,8,33902.0,23.6
191,687,Middelburg,14,48810.0,28.7
192,1842,Midden-Delfland,4,19344.0,20.7
193,1731,Midden-Drenthe,5,33182.0,15.1
194,1952,Midden-Groningen,8,60804.0,13.2
195,815,Mill en Sint Hubert,11,10941.0,100.5
196,1709,Moerdijk,12,37136.0,32.3
197,1978,Molenlanden,23,43931.0,52.4
198,1955,Montferland,10,36009.0,27.8
199,335,Montfoort,15,13920.0,107.8
200,944,Mook en Middelaar,8,7847.0,101.9
201,1740,Neder-Betuwe,33,24342.0,135.6
202,946,Nederweert,27,17022.0,158.6
203,356,Nieuwegein,33,63461.0,52.0
204,569,Nieuwkoop,10,28809.0,34.7
205,267,Nijkerk,18,43176.0,41.7
206,268,Nijmegen,197,177698.0,110.9
207,1930,Nissewaard,40,85237.0,46.9
208,1970,Noardeast-Fryslân,6,45251.0,13.3
209,1695,Noord-Beveland,2,7395.0,27.0
210,1699,Noordenveld,5,31242.0,16.0
211,171,Noordoostpolder,11,47262.0,23.3
212,575,Noordwijk,17,43528.0,39.1
213,820,"Nuenen, Gerwen en Nederwetten",16,23379.0,68.4
214,302,Nunspeet,52,27845.0,186.7
215,579,Oegstgeest,15,24843.0,60.4
216,823,Oirschot,14,18723.0,74.8
217,824,Oisterwijk,27,26241.0,102.9
218,1895,Oldambt,2,38213.0,5.2
219,269,Oldebroek,30,23645.0,126.9
220,173,Oldenzaal,22,31832.0,69.1
221,1773,Olst-Wijhe,9,18251.0,49.3
222,175,Ommen,10,18007.0,55.5
223,1586,Oost Gelre,11,29623.0,37.1
224,826,Oosterhout,44,55990.0,78.6
225,85,Ooststellingwerf,1,25472.0,3.9
226,431,Oostzaan,8,9733.0,82.2
227,432,Opmeer,3,11837.0,25.3
228,86,Opsterland,7,29742.0,23.5
229,828,Oss,174,91932.0,189.3
230,1509,Oude IJsselstreek,10,39392.0,25.4
231,437,Ouder-Amstel,10,14029.0,71.3
232,589,Oudewater,25,10226.0,244.5
233,1734,Overbetuwe,61,47909.0,127.3
234,590,Papendrecht,7,32133.0,21.8
235,1894,Peel en Maas,140,43420.0,322.4
236,765,Pekela,3,12199.0,24.6
237,1926,Pijnacker-Nootdorp,29,55329.0,52.4
238,439,Purmerend,63,81233.0,77.6
239,273,Putten,6,24113.0,24.9
240,177,Raalte,20,37709.0,53.0
241,703,Reimerswaal,7,22728.0,30.8
242,274,Renkum,21,31404.0,66.9
243,339,Renswoude,1,5448.0,18.4
244,1667,Reusel-De Mierden,7,13110.0,53.4
245,275,Rheden,35,43736.0,80.0
246,340,Rhenen,6,20125.0,29.8
247,597,Ridderkerk,34,46204.0,73.6
248,1742,Rijssen-Holten,21,38178.0,55.0
249,603,Rijswijk,20,54432.0,36.7
250,1669,Roerdalen,18,20572.0,87.5
251,957,Roermond,38,58254.0,65.2
252,1674,Roosendaal,26,77226.0,33.7
253,599,Rotterdam,375,651376.0,57.6
254,277,Rozendaal,2,1705.0,117.3
255,840,Rucphen,10,22873.0,43.7
256,518,s-Gravenhage,182,545163.0,33.4
257,441,Schagen,19,46482.0,40.9
258,279,Scherpenzeel,4,9880.0,40.5
259,606,Schiedam,31,78739.0,39.4
260,88,Schiermonnikoog,0,947.0,0.0
261,1676,Schouwen-Duiveland,10,33858.0,29.5
262,965,Simpelveld,14,10552.0,132.7
263,1702,Sint Anthonis,31,11672.0,265.6
264,845,Sint-Michielsgestel,33,29203.0,113.0
265,1883,Sittard-Geleen,114,92422.0,123.3
266,610,Sliedrecht,7,25217.0,27.8
267,1714,Sluis,6,23217.0,25.8
268,90,Smallingerland,10,56154.0,17.8
269,342,Soest,30,46607.0,64.4
270,847,Someren,29,19376.0,149.7
271,848,Son en Breugel,24,17321.0,138.6
272,37,Stadskanaal,1,31688.0,3.2
273,180,Staphorst,6,17144.0,35.0
274,532,Stede Broec,20,21734.0,92.0
275,851,Steenbergen,17,24501.0,69.4
276,1708,Steenwijkerland,10,44139.0,22.7
277,971,Stein,34,25000.0,136.0
278,1904,Stichtse Vecht,34,64928.0,52.4
279,1900,Súdwest-Fryslân,23,89987.0,25.6
280,715,Terneuzen,20,54438.0,36.7
281,93,Terschelling,0,4889.0,0.0
282,448,Texel,3,13573.0,22.1
283,1525,Teylingen,13,37426.0,34.7
284,716,Tholen,34,25758.0,132.0
285,281,Tiel,33,42161.0,78.3
286,855,Tilburg,330,219800.0,150.1
287,183,Tubbergen,14,21279.0,65.8
288,1700,Twenterand,8,33743.0,23.7
289,1730,Tynaarlo,17,33879.0,50.2
290,737,Tytsjerksteradiel,4,32046.0,12.5
291,856,Uden,154,42122.0,365.6
292,450,Uitgeest,9,13649.0,65.9
293,451,Uithoorn,17,29466.0,57.7
294,184,Urk,14,21033.0,66.6
295,344,Utrecht,307,357694.0,85.8
296,1581,Utrechtse Heuvelrug,32,49601.0,64.5
297,981,Vaals,9,10099.0,89.1
298,994,Valkenburg aan de Geul,15,16360.0,91.7
299,858,Valkenswaard,36,31200.0,115.4
300,47,Veendam,2,27387.0,7.3
301,345,Veenendaal,20,66491.0,30.1
302,717,Veere,9,21885.0,41.1
303,861,Veldhoven,28,45458.0,61.6
304,453,Velsen,40,68660.0,58.3
305,983,Venlo,96,101797.0,94.3
306,984,Venray,37,43604.0,84.9
307,1961,Vijfheerenlanden,47,56816.0,82.7
308,622,Vlaardingen,43,73445.0,58.5
309,96,Vlieland,0,1152.0,0.0
310,718,Vlissingen,13,44365.0,29.3
311,986,Voerendaal,13,12471.0,104.2
312,626,Voorschoten,8,25603.0,31.2
313,285,Voorst,20,24546.0,81.5
314,865,Vught,38,26554.0,143.1
315,1949,Waadhoeke,6,46079.0,13.0
316,866,Waalre,8,17454.0,45.8
317,867,Waalwijk,59,48620.0,121.3
318,627,Waddinxveen,9,29293.0,30.7
319,289,Wageningen,8,39673.0,20.2
320,629,Wassenaar,6,26214.0,22.9
321,852,Waterland,14,17422.0,80.4
322,988,Weert,43,50107.0,85.8
323,457,Weesp,10,19729.0,50.7
324,1960,West Betuwe,36,51198.0,70.3
325,668,West Maas en Waal,19,19320.0,98.3
326,1969,Westerkwartier,20,63375.0,31.6
327,1701,Westerveld,6,19460.0,30.8
328,293,Westervoort,5,14973.0,33.4
329,1950,Westerwolde,4,25796.0,15.5
330,1783,Westland,61,110357.0,55.3
331,98,Weststellingwerf,3,25916.0,11.6
332,614,Westvoorne,12,14728.0,81.5
333,189,Wierden,9,24440.0,36.8
334,296,Wijchen,43,41124.0,104.6
335,1696,Wijdemeren,5,24360.0,20.5
336,352,Wijk bij Duurstede,11,23910.0,46.0
337,294,Winterswijk,4,28865.0,13.9
338,873,Woensdrecht,6,21883.0,27.4
339,632,Woerden,44,52294.0,84.1
340,880,Wormerland,13,16299.0,79.8
341,351,Woudenberg,8,13362.0,59.9
342,479,Zaanstad,75,156711.0,47.9
343,297,Zaltbommel,16,28901.0,55.4
344,473,Zandvoort,10,17116.0,58.4
345,50,Zeewolde,9,22656.0,39.7
346,355,Zeist,47,64932.0,72.4
347,299,Zevenaar,21,43740.0,48.0
348,637,Zoetermeer,28,125283.0,22.3
349,638,Zoeterwoude,3,8611.0,34.8
350,1892,Zuidplas,17,43894.0,38.7
351,879,Zundert,25,21821.0,114.6
352,301,Zutphen,16,47942.0,33.4
353,1896,Zwartewaterland,45,22690.0,198.3
354,642,Zwijndrecht,18,44741.0,40.2
355,193,Zwolle,92,128831.0,71.4
