;Gemeente;30/03/2020;29/03/2020;28/03/2020;27/03/2020;26/03/2020;25/03/2020;24/03/2020;23/03/2020;22/03/2020;21/03/2020;20/03/2020;19/03/2020;18/03/2020;17/03/2020;16/03/2020;15/03/2020;14/03/2020;13/03/2020;12/03/2020;11/03/2020;10/03/2020;09/03/2020;08/03/2020
76;Deventer;53;46;45;33;30;26;20;17;16;16;7;5;5;4;2;1;0;0;0;0;0;0;0
77;Diemen;9;8;7;7;6;6;4;4;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2
78;Dinkelland;34;32;30;28;25;20;17;15;14;13;9;8;6;5;5;4;4;3;1;2;2;2;2
79;Doesburg;6;6;6;6;5;5;4;4;4;3;3;1;1;1;1;1;0;0;0;0;0;0;0
80;Doetinchem;24;23;18;17;17;10;8;6;5;5;4;3;0;0;0;0;0;0;0;0;0;0;0
81;Dongen;21;18;12;10;6;6;4;2;2;2;2;5;5;5;5;5;5;4;4;4;3;3;3
82;Dordrecht;46;42;36;32;28;26;23;17;13;12;11;8;4;4;1;1;1;1;0;0;0;0;0
83;Drechterland;7;5;5;4;4;3;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
84;Drimmelen;30;30;26;24;21;20;17;16;14;14;13;13;12;11;7;5;5;5;3;1;0;0;0
85;Dronten;13;13;11;11;11;11;11;11;10;11;10;9;8;7;7;6;3;2;0;0;0;0;0
86;Druten;18;16;13;11;7;7;6;6;5;5;5;5;5;5;5;5;3;1;0;0;0;0;0
87;Duiven;7;6;6;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;0;0;0;0;0
88;Echt-Susteren;32;29;28;25;23;20;15;14;12;11;7;6;6;2;0;0;0;0;0;0;0;0;0
89;Edam-Volendam;16;14;14;14;10;9;7;6;5;4;3;3;0;0;0;0;0;0;0;0;0;0;0
90;Ede;50;49;46;37;33;26;22;21;16;13;9;5;5;2;2;1;0;0;0;0;0;0;0
91;Eemnes;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
92;Eersel;23;20;17;15;14;13;13;10;9;7;6;4;4;3;2;2;2;1;1;0;0;0;0
93;Eijsden-Margraten;53;48;43;32;26;20;15;7;6;6;6;4;4;4;4;3;1;0;0;0;0;0;0
94;Eindhoven;143;139;128;113;93;80;68;55;46;35;28;24;23;22;21;21;13;12;8;8;8;7;6
95;Elburg;18;16;11;9;6;5;4;4;3;2;2;1;1;1;1;1;1;1;0;0;0;0;0
96;Emmen;15;14;12;10;8;8;7;6;4;4;4;3;2;1;1;1;1;1;1;1;1;1;1
97;Enkhuizen;18;17;17;17;15;13;10;8;7;6;5;5;1;1;1;0;0;0;0;0;0;0;0
98;Enschede;55;55;49;45;34;26;20;20;18;16;8;7;4;3;3;3;3;3;3;1;0;0;0
99;Epe;33;29;20;18;16;15;13;10;8;6;4;4;4;2;2;0;0;0;0;0;0;0;0
100;Ermelo;23;20;19;18;17;17;14;13;13;11;9;8;8;8;8;7;5;4;3;1;1;0;0
101;Etten-Leur;54;51;50;40;37;31;24;24;20;18;15;14;13;12;10;8;7;6;5;5;3;1;0
102;Geertruidenberg;15;12;12;11;11;11;10;10;8;7;7;7;7;5;3;1;1;1;1;1;0;0;0
103;Geldrop-Mierlo;26;24;22;20;16;15;9;8;6;6;4;4;3;3;3;2;2;2;1;0;0;0;0
104;Gemert-Bakel;94;90;82;76;71;68;64;56;50;42;36;31;26;25;20;16;13;11;7;4;2;1;1
105;Gennep;19;14;14;9;8;7;7;7;7;5;4;4;2;1;1;1;1;1;0;0;0;0;0
106;Gilze en Rijen;29;27;25;22;19;18;16;13;12;7;7;5;3;1;1;1;1;1;0;0;0;0;0
107;Goeree-Overflakkee;112;102;92;77;56;44;43;36;25;16;14;8;7;5;4;2;1;1;0;0;0;0;0
108;Goes;17;16;12;12;7;4;4;3;3;3;3;3;3;2;2;2;2;2;2;2;1;0;0
109;Goirle;34;34;26;24;21;18;16;13;13;12;11;11;9;9;9;6;6;6;6;6;4;4;1
110;Gooise Meren;26;25;25;24;20;18;12;11;11;11;10;10;9;9;4;4;4;3;3;3;2;2;2
111;Gorinchem;25;17;14;13;9;8;4;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
112;Gouda;43;37;35;31;25;18;17;16;15;12;10;9;7;5;4;3;2;2;2;2;1;0;0
113;Grave;25;22;19;16;14;11;11;11;10;6;4;2;1;0;0;0;0;0;0;0;0;0;0
114;Groningen;88;87;85;80;76;58;53;53;46;39;28;23;11;7;7;6;3;3;2;0;0;0;0
115;Gulpen-Wittem;11;10;8;7;5;5;4;2;2;2;2;2;2;2;2;1;0;0;0;0;0;0;0
116;Haaksbergen;10;10;9;6;4;3;3;3;3;1;1;1;1;1;1;1;0;0;0;0;0;0;0
117;Haaren;23;22;21;18;14;12;12;12;12;10;9;9;9;7;7;7;7;7;6;6;2;2;0
