,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,796,'s-Hertogenbosch,67,155113,43.2
1,1680,Aa en Hunze,1,25453,3.9
2,358,Aalsmeer,5,31857,15.7
3,197,Aalten,1,27117,3.7
4,59,Achtkarspelen,0,27836,0.0
5,482,Alblasserdam,2,20165,9.9
6,613,Albrandswaard,4,25589,15.6
7,361,Alkmaar,19,109444,17.4
8,141,Almelo,8,73080,10.9
9,34,Almere,46,211840,21.7
10,484,Alphen aan den Rijn,29,111889,25.9
11,1723,Alphen-Chaam,9,10213,88.1
12,1959,Altena,17,55980,30.4
13,60,Ameland,0,3718,0.0
14,307,Amersfoort,24,157279,15.3
15,362,Amstelveen,28,91691,30.5
16,363,Amsterdam,244,872779,28.0
17,200,Apeldoorn,19,163829,11.6
18,3,Appingedam,1,11644,8.6
19,202,Arnhem,28,161368,17.4
20,106,Assen,5,68606,7.3
21,743,Asten,4,16734,23.9
22,744,Baarle-Nassau,1,6860,14.6
23,308,Baarn,2,24873,8.0
24,489,Barendrecht,16,48713,32.8
25,203,Barneveld,5,59077,8.5
26,888,Beek,0,15868,0.0
27,1954,Beekdaelen,12,35976,33.4
28,370,Beemster,2,10025,20.0
29,889,Beesel,10,13483,74.2
30,1945,Berg en Dal,15,34990,42.9
31,1724,Bergeijk,5,18638,26.8
32,893,Bergen (L.),3,13085,22.9
33,373,Bergen (NH.),8,29844,26.8
34,748,Bergen op Zoom,11,67489,16.3
35,1859,Berkelland,1,43748,2.3
36,1721,Bernheze,57,31247,182.4
37,753,Best,18,29985,60.0
38,209,Beuningen,12,25891,46.3
39,375,Beverwijk,5,41613,12.0
40,1728,Bladel,7,20395,34.3
41,376,Blaricum,1,11536,8.7
42,377,Bloemendaal,3,23570,12.7
43,1901,Bodegraven-Reeuwijk,2,34869,5.7
44,755,Boekel,21,10784,194.7
45,1681,Borger-Odoorn,1,25558,3.9
46,147,Borne,10,23313,42.9
47,654,Borsele,3,22738,13.2
48,756,Boxmeer,8,29371,27.2
49,757,Boxtel,9,30803,29.2
50,758,Breda,113,184271,61.3
51,501,Brielle,5,17282,28.9
52,1876,Bronckhorst,1,36052,2.8
53,213,Brummen,3,20756,14.5
54,899,Brunssum,9,27817,32.4
55,312,Bunnik,4,15191,26.3
56,313,Bunschoten,1,21867,4.6
57,214,Buren,5,26742,18.7
58,502,Capelle aan den IJssel,20,67151,29.8
59,383,Castricum,8,35988,22.2
60,109,Coevorden,5,35296,14.2
61,1706,Cranendonck,28,21166,132.3
62,1684,Cuijk,5,25139,19.9
63,216,Culemborg,13,28956,44.9
64,148,Dalfsen,7,28585,24.5
65,1891,Dantumadiel,0,18916,0.0
66,310,De Bilt,11,43124,25.5
67,1940,De Fryske Marren,11,51567,21.3
68,736,De Ronde Venen,11,44457,24.7
