,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
0,796,'s-Hertogenbosch,69,155113,44.5
1,1680,Aa en Hunze,1,25453,3.9
2,358,Aalsmeer,5,31857,15.7
3,197,Aalten,1,27117,3.7
4,59,Achtkarspelen,0,27836,0.0
5,482,Alblasserdam,2,20165,9.9
6,613,Albrandswaard,5,25589,19.5
7,361,Alkmaar,21,109444,19.2
8,141,Almelo,10,73080,13.7
9,34,Almere,50,211840,23.6
10,484,Alphen aan den Rijn,32,111889,28.6
11,1723,Alphen-Chaam,9,10213,88.1
12,1959,Altena,19,55980,33.9
13,60,Ameland,0,3718,0.0
14,307,Amersfoort,24,157279,15.3
15,362,Amstelveen,31,91691,33.8
16,363,Amsterdam,246,872779,28.2
17,200,Apeldoorn,22,163829,13.4
18,3,Appingedam,1,11644,8.6
19,202,Arnhem,30,161368,18.6
20,106,Assen,7,68606,10.2
21,743,Asten,5,16734,29.9
22,744,Baarle-Nassau,1,6860,14.6
23,308,Baarn,2,24873,8.0
24,489,Barendrecht,17,48713,34.9
25,203,Barneveld,8,59077,13.5
26,888,Beek,0,15868,0.0
27,1954,Beekdaelen,12,35976,33.4
28,370,Beemster,2,10025,20.0
29,889,Beesel,10,13483,74.2
30,1945,Berg en Dal,17,34990,48.6
31,1724,Bergeijk,5,18638,26.8
32,893,Bergen (L.),3,13085,22.9
33,373,Bergen (NH.),10,29844,33.5
34,748,Bergen op Zoom,13,67489,19.3
35,1859,Berkelland,1,43748,2.3
36,1721,Bernheze,61,31247,195.2
37,753,Best,19,29985,63.4
38,209,Beuningen,12,25891,46.3
39,375,Beverwijk,7,41613,16.8
40,1728,Bladel,10,20395,49.0
41,376,Blaricum,2,11536,17.3
42,377,Bloemendaal,3,23570,12.7
43,1901,Bodegraven-Reeuwijk,3,34869,8.6
44,755,Boekel,23,10784,213.3
45,1681,Borger-Odoorn,1,25558,3.9
46,147,Borne,10,23313,42.9
47,654,Borsele,3,22738,13.2
48,756,Boxmeer,10,29371,34.0
49,757,Boxtel,9,30803,29.2
50,758,Breda,118,184271,64.0
51,501,Brielle,5,17282,28.9
52,1876,Bronckhorst,1,36052,2.8
53,213,Brummen,4,20756,19.3
54,899,Brunssum,9,27817,32.4
55,312,Bunnik,4,15191,26.3
56,313,Bunschoten,2,21867,9.1
57,214,Buren,5,26742,18.7
58,502,Capelle aan den IJssel,22,67151,32.8
59,383,Castricum,8,35988,22.2
60,109,Coevorden,6,35296,17.0
61,1706,Cranendonck,35,21166,165.4
62,1684,Cuijk,6,25139,23.9
63,216,Culemborg,15,28956,51.8
64,148,Dalfsen,7,28585,24.5
65,1891,Dantumadiel,0,18916,0.0
66,310,De Bilt,13,43124,30.1
67,1940,De Fryske Marren,11,51567,21.3
68,736,De Ronde Venen,12,44457,27.0
69,1690,De Wolden,2,24327,8.2
70,503,Delft,22,103659,21.2
71,10,Delfzijl,4,24666,16.2
72,400,Den Helder,6,56305,10.7
73,762,Deurne,37,32474,113.9
74,150,Deventer,22,100718,21.8
75,384,Diemen,4,30781,13.0
76,1774,Dinkelland,13,26470,49.1
77,221,Doesburg,3,11078,27.1
78,222,Doetinchem,5,58009,8.6
79,766,Dongen,7,26226,26.7
80,505,Dordrecht,30,119300,25.1
81,498,Drechterland,1,19717,5.1
82,1719,Drimmelen,14,27274,51.3
83,303,Dronten,10,41569,24.1
84,225,Druten,13,18918,68.7
85,226,Duiven,4,25124,15.9
86,1711,Echt-Susteren,22,31618,69.6
87,385,Edam-Volendam,10,36201,27.6
88,228,Ede,29,117166,24.8
89,317,Eemnes,1,9247,10.8
90,770,Eersel,13,19314,67.3
91,1903,Eijsden-Margraten,6,25753,23.3
92,772,Eindhoven,62,234456,26.4
93,230,Elburg,4,23161,17.3
94,114,Emmen,6,107055,5.6
95,388,Enkhuizen,14,18592,75.3
96,153,Enschede,28,159734,17.5
97,232,Epe,10,33186,30.1
98,233,Ermelo,9,27005,33.3
99,777,Etten-Leur,23,43880,52.4
100,779,Geertruidenberg,7,21538,32.5
101,1771,Geldrop-Mierlo,10,39733,25.2
102,1652,Gemert-Bakel,56,30725,182.3
103,907,Gennep,11,16924,65.0
104,784,Gilze en Rijen,13,26438,49.2
105,1924,Goeree-Overflakkee,26,50049,51.9
106,664,Goes,6,38080,15.8
107,785,Goirle,17,23906,71.1
108,1942,Gooise Meren,15,58041,25.8
109,512,Gorinchem,10,37009,27.0
110,513,Gouda,13,73443,17.7
111,786,Grave,10,12437,80.4
112,14,Groningen,11,232922,4.7
113,1729,Gulpen-Wittem,2,14176,14.1
114,158,Haaksbergen,6,24309,24.7
115,788,Haaren,14,14371,97.4
116,392,Haarlem,31,162961,19.0
117,394,Haarlemmermeer,32,156039,20.5
118,1655,Halderberge,9,30277,29.7
119,160,Hardenberg,9,60940,14.8
120,243,Harderwijk,8,48429,16.5
121,523,Hardinxveld-Giessendam,1,18295,5.5
122,72,Harlingen,1,15720,6.4
123,244,Hattem,5,12213,40.9
124,396,Heemskerk,17,39188,43.4
125,397,Heemstede,5,27239,18.4
126,246,Heerde,19,18587,102.2
127,74,Heerenveen,7,50494,13.9
128,398,Heerhugowaard,19,57592,33.0
