,Gemnr,Gemeente,Aantal,BevAant,Aantal per 100.000 inwoners
137,1966,Het Hogeland,5,47834,10.5
138,252,Heumen,12,16450,72.9
139,797,Heusden,32,44699,71.6
140,534,Hillegom,5,22208,22.5
141,798,Hilvarenbeek,6,15514,38.7
142,402,Hilversum,17,90883,18.7
143,1963,Hoeksche Waard,49,87461,56.0
144,1735,Hof van Twente,12,35013,34.3
145,1911,Hollands Kroon,23,48434,47.5
146,118,Hoogeveen,7,55697,12.6
147,405,Hoorn,18,73232,24.6
148,1507,Horst aan de Maas,34,42433,80.1
149,321,Houten,15,50146,29.9
150,406,Huizen,13,41273,31.5
151,677,Hulst,4,27556,14.5
152,353,IJsselstein,25,34110,73.3
153,1884,Kaag en Braassem,5,27300,18.3
154,166,Kampen,39,54340,71.8
155,678,Kapelle,1,12691,7.9
156,537,Katwijk,12,65754,18.2
157,928,Kerkrade,36,45744,78.7
158,1598,Koggenland,6,22752,26.4
159,542,Krimpen aan den IJssel,4,29533,13.5
160,1931,Krimpenerwaard,32,56319,56.8
161,1659,Laarbeek,27,22530,119.8
162,1685,Landerd,25,15730,158.9
163,882,Landgraaf,29,37457,77.4
164,415,Landsmeer,3,11492,26.1
165,416,Langedijk,12,28157,42.6
166,1621,Lansingerland,22,62396,35.3
167,417,Laren,7,11274,62.1
168,80,Leeuwarden,26,124058,21.0
169,546,Leiden,19,125174,15.2
170,547,Leiderdorp,6,27059,22.2
171,1916,Leidschendam-Voorburg,12,76553,15.7
172,995,Lelystad,32,78619,40.7
173,1640,Leudal,46,35896,128.1
174,327,Leusden,5,30399,16.4
175,1705,Lingewaard,21,46606,45.1
176,553,Lisse,4,22957,17.4
177,262,Lochem,5,33730,14.8
178,809,Loon op Zand,19,23407,81.2
179,331,Lopik,12,14471,82.9
180,24,Loppersum,0,9533,0.0
181,168,Losser,6,22685,26.4
182,263,Maasdriel,12,25034,47.9
183,1641,Maasgouw,17,23960,71.0
184,556,Maassluis,10,33216,30.1
185,935,Maastricht,99,121558,81.4
186,420,Medemblik,10,45104,22.2
187,938,Meerssen,10,18832,53.1
188,1948,Meierijstad,144,81197,177.3
189,119,Meppel,4,33902,11.8
190,687,Middelburg,13,48810,26.6
191,1842,Midden-Delfland,3,19344,15.5
192,1731,Midden-Drenthe,6,33182,18.1
193,1952,Midden-Groningen,4,60804,6.6
194,815,Mill en Sint Hubert,7,10941,64.0
195,1709,Moerdijk,7,37136,18.8
196,1978,Molenlanden,14,43931,31.9
197,1955,Montferland,5,36009,13.9
198,335,Montfoort,11,13920,79.0
199,944,Mook en Middelaar,3,7847,38.2
200,1740,Neder-Betuwe,28,24342,115.0
201,946,Nederweert,25,17022,146.9
202,356,Nieuwegein,22,63461,34.7
203,569,Nieuwkoop,6,28809,20.8
204,267,Nijkerk,18,43176,41.7
205,268,Nijmegen,89,177698,50.1
206,1930,Nissewaard,24,85237,28.2
207,1970,Noardeast-Frysl̢n,4,45251,8.8
208,1695,Noord-Beveland,0,7395,0.0
209,1699,Noordenveld,1,31242,3.2
210,171,Noordoostpolder,8,47262,16.9
211,575,Noordwijk,9,43528,20.7
212,820,"Nuenen, Gerwen en Nederwetten",12,23379,51.3
213,302,Nunspeet,20,27845,71.8
214,579,Oegstgeest,5,24843,20.1
215,823,Oirschot,9,18723,48.1
216,824,Oisterwijk,10,26241,38.1
217,1895,Oldambt,1,38213,2.6
218,269,Oldebroek,10,23645,42.3
219,173,Oldenzaal,11,31832,34.6
220,1773,Olst-Wijhe,6,18251,32.9
221,175,Ommen,6,18007,33.3
222,1586,Oost Gelre,4,29623,13.5
223,826,Oosterhout,25,55990,44.7
224,85,Ooststellingwerf,1,25472,3.9
225,431,Oostzaan,5,9733,51.4
226,432,Opmeer,1,11837,8.4
227,86,Opsterland,5,29742,16.8
228,828,Oss,100,91932,108.8
229,1509,Oude IJsselstreek,4,39392,10.2
230,437,Ouder-Amstel,4,14029,28.5
231,589,Oudewater,18,10226,176.0
232,1734,Overbetuwe,43,47909,89.8
233,590,Papendrecht,3,32133,9.3
234,1894,Peel en Maas,118,43420,271.8
235,765,Pekela,4,12199,32.8
236,1926,Pijnacker-Nootdorp,13,55329,23.5
237,439,Purmerend,47,81233,57.9
238,273,Putten,1,24113,4.1
239,177,Raalte,18,37709,47.7
240,703,Reimerswaal,4,22728,17.6
241,274,Renkum,11,31404,35.0
